實際價格,預測值,CI95下限,CI95上限,CI99下限,CI99上限,CI95長度,CI99長度,是否落在CI95,是否落在CI99,信心分數
32859.62567444333,25564.70525136812,22335.00235633153,28868.568512008318,20934.06589862971,29108.49410375191,6533.566155676788,8174.4282051222,0,0,0.0
29732.618852891435,26030.06852298782,21603.15555477595,30660.124976726238,20606.235881218774,31192.040099875438,9056.969421950289,10585.804218656664,1,1,0.6024079999200276
23388.506372157066,24873.526322782785,22746.592996347816,30270.0477403953,21513.3402322558,32193.0594252666,7523.454744047485,10679.719193010802,1,1,0.5853216238618668
13095.186514175237,13223.669290710359,13095.186514175377,13414.364522715101,13095.186514175377,13433.612906341672,319.17800853972403,338.42639216629505,0,0,0.5000000000152236
22026.465794806718,24298.675727738526,23388.362857976445,24834.770835065454,23303.380051121476,24834.770835065454,1446.4079770890094,1531.390783943978,0,0,0.0
20130.67399118387,19647.692252719313,18559.73248654945,20130.673991183692,18360.159648457964,20130.673991183692,1570.9415046342438,1770.514342725728,0,0,0.5000000000030682
18958.354802043836,18339.493904288513,16885.32181861747,19769.919346207313,16465.43858837699,20319.9903758648,2884.597527589842,3854.5517874878096,1,1,0.7813441169533781
13095.186514175237,13158.150474239594,13095.186514175377,13278.910850848586,13095.186514175377,13326.490622312802,183.7243366732091,231.30410813742492,0,0,0.5000000000264573
17326.631675024404,15868.500174927,13563.114933854844,17120.04288678659,13078.373976644942,17263.89577043569,3556.9279529317446,4185.521793790749,0,0,0.4419193216826458
19148.88943544531,18136.729419086478,17584.08779778887,18666.924876160385,17493.758135675984,18765.984641527684,1082.8370783715145,1272.2265058517005,0,0,0.05490574814790683
17326.631675024404,21164.029791917746,18757.139548300096,23314.9667026271,18601.330377273254,23408.981163028177,4557.827154327006,4807.650785754922,0,0,0.18614257960407898
22925.382916614915,22925.21225051004,22925.38291661459,22925.38291661463,22910.980113238824,22931.17230668082,4.001776687800884e-11,20.192193441995187,0,1,0.9695627809739694
16155.244293579399,17132.769555956955,15570.111629090823,18471.07422294044,15228.765013896318,19463.102826948794,2900.9625938496156,4234.337813052476,1,1,0.7017029332719112
13359.726829661873,13605.293259229069,13490.317847539325,13758.069907978703,13432.206113128455,13766.591084005242,267.7520604393776,334.3849708767866,0,0,0.012268859282436595
22925.382916614915,24711.930996116298,22962.460285853405,29829.76235146645,22925.38291661463,31496.727267237868,6867.302065613043,8571.344350623236,0,1,0.4946008827223294
24834.770835065363,24678.662638372425,24017.98877112817,25218.55295016825,23886.837952407466,25331.565861142928,1200.5641790400805,1444.7279087354618,1,1,0.8196681375347616
23155.786845395465,23031.051346624306,22839.287838831147,23154.841739162875,22821.192003654385,23183.108913605247,315.5539003317281,361.91690995086174,0,1,0.49700492934308704
18398.05074107136,18342.367397700607,18086.446492565407,18567.25678760889,17990.661421041226,18610.15727471491,480.8102950434841,619.4958536736849,1,1,0.8519185181417691
14328.416324133817,14328.416324134403,14328.416324134098,14328.416324134148,14328.416324134098,14328.416324134148,5.093170329928398e-11,5.093170329928398e-11,0,0,0.9695958316286846
21162.795717500194,20432.713267547395,19169.03681830039,21162.795717500456,19000.044787537812,21177.337082704486,1993.7588992000674,2177.2922951666733,1,1,0.5000000000026392
18033.744927828524,19457.027910709952,18998.77341831009,19879.555544281175,18891.742428719583,19921.369693797238,880.7821259710836,1029.6272650776555,0,0,0.0
34200.6524378894,32135.571422722343,30400.096538801117,33664.62945368132,30108.809251910658,33840.446754034965,3264.5329148802048,3731.6375021243075,0,0,0.33580408034540865
18214.987077506466,17588.002853047834,17241.953034257687,18035.285997592273,17181.84788502527,18206.874108061114,793.3329633345857,1025.0262230358458,0,0,0.27348592808800254
14044.69467150283,15781.816248588078,9868.11886805355,17411.06413041974,9365.124988237305,17502.698826296644,7542.945262366191,8137.573838059339,1,1,0.9462937674641737
14328.416324133817,14328.416324134403,14328.416324134098,14328.416324134148,14328.416324134098,14328.416324134148,5.093170329928398e-11,5.093170329928398e-11,0,0,0.9695958316286846
22026.465794806718,24492.150263273586,22962.046965288304,25409.86755105388,22676.616807603026,25707.260154498035,2447.8205857655776,3030.643346895009,0,0,0.11779013710673869
17854.306167671504,18342.367397700607,18086.446492565407,18567.25678760889,17990.661421041226,18610.15727471491,480.8102950434841,619.4958536736849,0,0,0.017189362879429182
