出發時段,出發機場代號,抵達時段,航空聯盟,機型分類,假期,是否為平日,飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,下界,上界,抵達機場代號
下午班機,TPE,下午抵達,1,1,1,1,235,-1.882734,0.4139873,7,16696,17783.969,17924.229,17260.393272791833,19093.561357029008,BKK
早晨班機,TPE,上午抵達,1,1,0,0,245,-1.882734,0.4139873,7,22095,23479.705,23640.633,22494.907787189284,24616.166590709367,BKK
早晨班機,TPE,上午抵達,1,1,0,0,245,-1.882734,0.4139873,9,23625,22548.775,22365.676,21952.709845709112,23066.931333156583,BKK
上午班機,TPE,下午抵達,5,1,0,1,250,-1.882734,0.4139873,6,23907,22524.273,22395.836,21398.15818361261,23823.120835170044,BKK
上午班機,TPE,下午抵達,5,1,0,0,250,-1.882734,0.4139873,4,21385,24154.607,23556.19,21459.344486690556,25133.550235705447,BKK
晚間班機,TPE,晚間抵達,1,1,2,0,235,-1.882734,0.4139873,8,21303,20925.957,20664.11,18124.77973979677,23326.768290279706,BKK
下午班機,TPE,下午抵達,5,0,0,1,240,-1.882734,0.4139873,7,21021,21490.512,21288.375,20850.50671221417,21900.453444799597,BKK
上午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,6,25312,22928.559,22802.773,21952.14142195548,23598.852992698103,BKK
下午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,6,16595,18270.365,18398.203,17811.19079785286,19306.97259498055,BKK
早晨班機,TPE,上午抵達,1,1,0,1,245,-1.882734,0.4139873,7,26847,23001.404,22874.086,22076.07128133296,23865.693786647826,BKK
晚間班機,TPE,晚間抵達,1,1,0,1,235,-1.882734,0.4139873,10,21201,19383.398,19280.5,18093.2026854916,20372.824627022346,BKK
早晨班機,TPE,上午抵達,2,1,0,1,230,-1.882734,0.4139873,9,20671,20763.062,20635.85,20319.811461768695,21001.655587704165,BKK
下午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,7,16651,17353.17,17386.467,17149.806324439134,17685.852553805245,BKK
早晨班機,TPE,上午抵達,1,1,0,1,245,-1.882734,0.4139873,9,21826,22169.639,22024.96,21677.55781317638,22336.153836235408,BKK
上午班機,TPE,下午抵達,5,1,0,1,250,-1.882734,0.4139873,4,20524,21472.135,21330.666,20878.195320426476,21977.225731476618,BKK
早晨班機,TPE,上午抵達,1,1,0,1,245,-1.882734,0.4139873,7,21804,23001.404,22874.086,22076.07128133296,23865.693786647826,BKK
上午班機,TPE,下午抵達,5,1,0,0,250,-1.882734,0.4139873,4,21477,24154.607,23556.19,21459.344486690556,25133.550235705447,BKK
下午班機,TPE,下午抵達,2,1,0,1,235,-1.882734,0.4139873,7,19540,19370.334,19290.69,19004.8908225549,19472.879119282,BKK
下午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,7,16543,17353.17,17386.467,17149.806324439134,17685.852553805245,BKK
早晨班機,TPE,上午抵達,1,1,0,1,245,-1.882734,0.4139873,7,25063,23001.404,22874.086,22076.07128133296,23865.693786647826,BKK
晚間班機,TPE,晚間抵達,1,1,0,0,235,-1.882734,0.4139873,7,24140,20846.797,20362.596,19172.731819309964,21878.791442942034,BKK
