出發時段,出發機場代號,抵達時段,航空聯盟,機型分類,假期,是否為平日,飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
早晨班機,TPE,下午抵達,1,1,1,1,280,2.1585612,1.0416285,8,11234,7735.4126,7490.6265,6415.12458183853,8440.216440991562,SIN
早晨班機,TPE,下午抵達,2,1,0,1,285,2.1585612,1.0416285,7,5919,6152.277,5966.6074,5549.229317656407,6505.196790015102,SIN
凌晨班機,TPE,早晨抵達,4,1,0,1,285,2.1585612,1.0416285,2,3572,3031.5278,2932.0693,2756.0587696700036,3261.904067908738,SIN
早晨班機,TPE,下午抵達,1,1,1,1,280,2.1585612,1.0416285,8,6088,7735.4126,7490.6265,6415.12458183853,8440.216440991562,SIN
下午班機,TPE,晚間抵達,1,1,0,0,285,2.1585612,1.0416285,5,12572,7647.4614,7874.552,6209.99495772823,9165.895498336691,SIN
上午班機,TPE,下午抵達,1,1,0,1,295,2.1585612,1.0416285,2,6236,6515.993,6381.4224,5620.383360606082,7149.177420091247,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,7,8464,7444.4014,7300.074,5933.320128942401,9590.692648341674,SIN
凌晨班機,TPE,早晨抵達,4,1,0,0,285,2.1585612,1.0416285,2,3382,3032.6416,2987.0195,2759.9922003290635,3262.9203673959128,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,5,8134,6643.566,6454.353,5808.576937942665,7074.252431921826,SIN
下午班機,TPE,晚間抵達,4,1,2,0,285,2.1585612,1.0416285,4,9478,11390.828,10184.144,6324.97542707298,16361.556279008168,SIN
早晨班機,TPE,下午抵達,5,0,1,1,300,2.1585612,1.0416285,8,11143,8345.562,7808.786,7088.561262891197,9317.540798126885,SIN
早晨班機,TPE,下午抵達,2,1,0,1,285,2.1585612,1.0416285,8,5850,5785.977,5590.493,5207.015418772619,6065.145290654126,SIN
凌晨班機,TPE,早晨抵達,4,1,0,1,285,2.1585612,1.0416285,2,2619,3031.5278,2932.0693,2756.0587696700036,3261.904067908738,SIN
下午班機,TPE,晚間抵達,4,1,0,1,285,2.1585612,1.0416285,7,3428,7444.4014,7300.074,5933.320128942401,9590.692648341674,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,5,9174,6643.566,6454.353,5808.576937942665,7074.252431921826,SIN
下午班機,TPE,晚間抵達,1,1,0,0,285,2.1585612,1.0416285,7,10017,7850.7935,7596.696,6325.525200822804,8947.221456378098,SIN
早晨班機,TPE,下午抵達,2,1,0,0,285,2.1585612,1.0416285,5,5927,6396.6753,6090.015,5387.166451980724,7201.7976944356915,SIN
下午班機,TPE,晚間抵達,1,1,2,1,285,2.1585612,1.0416285,5,11270,8732.468,8588.077,7148.064655588707,10243.86618028789,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,5,8895,6643.566,6454.353,5808.576937942665,7074.252431921826,SIN
晚間班機,TPE,凌晨抵達,2,1,2,1,285,2.1585612,1.0416285,2,9339,10764.157,10584.703,8090.187176919173,13752.557951654671,SIN
凌晨班機,TPE,凌晨抵達,4,0,0,1,275,2.1585612,1.0416285,1,4797,3310.8992,3201.4717,2804.8415406158438,4316.9549833323845,SIN
上午班機,TPE,下午抵達,1,1,0,0,295,2.1585612,1.0416285,2,6163,6458.165,6261.486,5561.581018718899,6781.630014822583,SIN
早晨班機,TPE,下午抵達,5,0,0,1,280,2.1585612,1.0416285,8,5670,6047.2964,5744.317,5320.505077991078,6234.792029934991,SIN
早晨班機,TPE,下午抵達,5,0,0,0,280,2.1585612,1.0416285,6,5806,6264.921,5904.9736,5399.148865667631,6468.713523204242,SIN
下午班機,TPE,晚間抵達,4,1,0,0,285,2.1585612,1.0416285,7,3906,7850.7935,7596.696,6325.525200822804,8947.221456378098,SIN
凌晨班機,TPE,早晨抵達,4,1,0,1,285,2.1585612,1.0416285,2,3877,3031.5278,2932.0693,2756.0587696700036,3261.904067908738,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,5,9220,6643.566,6454.353,5808.576937942665,7074.252431921826,SIN
凌晨班機,TPE,凌晨抵達,4,0,0,1,285,2.1585612,1.0416285,2,2677,3062.7947,3030.2324,2804.5318270296825,3275.4276662456878,SIN
早晨班機,TPE,下午抵達,1,1,0,0,280,2.1585612,1.0416285,6,6134,6117.623,5890.14,5407.393968196227,6466.732639639093,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,4,8151,7521.2104,7254.499,5065.035437025351,9761.451938280392,SIN
早晨班機,TPE,下午抵達,2,1,0,1,285,2.1585612,1.0416285,7,5858,6152.277,5966.6074,5549.229317656407,6505.196790015102,SIN
下午班機,TPE,晚間抵達,4,1,2,0,285,2.1585612,1.0416285,1,13426,11024.281,10943.616,9423.657849033832,17388.619819292908,SIN
早晨班機,TPE,下午抵達,5,0,0,1,280,2.1585612,1.0416285,6,5639,6567.263,6267.736,5634.278983180634,7294.621756909679,SIN
早晨班機,TPE,下午抵達,5,0,0,1,280,2.1585612,1.0416285,6,6433,6567.263,6267.736,5634.278983180634,7294.621756909679,SIN
下午班機,TPE,晚間抵達,4,1,0,1,285,2.1585612,1.0416285,5,3250,6643.566,6454.353,5808.576937942665,7074.252431921826,SIN
凌晨班機,TPE,早晨抵達,4,1,0,1,285,2.1585612,1.0416285,2,2583,3031.5278,2932.0693,2756.0587696700036,3261.904067908738,SIN
早晨班機,TPE,下午抵達,5,0,2,1,280,2.1585612,1.0416285,6,14408,11339.265,11688.87,9556.268599163333,14100.846922273036,SIN
凌晨班機,TPE,早晨抵達,4,1,0,0,285,2.1585612,1.0416285,2,3004,3032.6416,2987.0195,2759.9922003290635,3262.9203673959128,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,7,11557,7444.4014,7300.074,5933.320128942401,9590.692648341674,SIN
