出發時段,出發機場代號,抵達時段,航空聯盟,機型分類,假期,是否為平日,飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,下界,上界,抵達機場代號
上午班機,TPE,下午抵達,1,1,0,0,295,2.1585612,1.0416285,2,20330,21896.344,21616.809,20796.905628755463,22557.80575507434,SIN
晚間班機,TPE,凌晨抵達,2,1,0,1,285,2.1585612,1.0416285,3,18739,18771.547,18657.336,18442.262466932487,18829.789678842637,SIN
上午班機,TPE,下午抵達,1,1,0,1,295,2.1585612,1.0416285,2,22258,21273.8,21031.479,20428.22818465854,21766.39480465969,SIN
下午班機,TPE,晚間抵達,1,1,0,0,290,2.1585612,1.0416285,7,20984,22401.797,22553.1,21564.540789039052,24019.160418419342,SIN
早晨班機,TPE,下午抵達,2,1,0,1,285,2.1585612,1.0416285,8,18757,18895.484,19031.254,18758.360213296753,19485.613279020257,SIN
下午班機,TPE,晚間抵達,1,1,0,1,290,2.1585612,1.0416285,7,22537,21271.123,21290.363,20502.22224764543,23567.959326956414,SIN
下午班機,TPE,晚間抵達,1,1,2,1,285,2.1585612,1.0416285,5,31490,32204.434,31928.89,30857.575265072952,33441.27105553712,SIN
晚間班機,TPE,凌晨抵達,2,1,1,1,285,2.1585612,1.0416285,2,18915,19449.656,19346.738,18939.464857140025,22142.517497193414,SIN
上午班機,TPE,下午抵達,1,1,2,1,295,2.1585612,1.0416285,2,25249,28863.965,28094.49,25577.8578082415,31054.303725105827,SIN
早晨班機,TPE,下午抵達,2,1,0,1,285,2.1585612,1.0416285,8,19153,18895.484,19031.254,18758.360213296753,19485.613279020257,SIN
上午班機,TPE,下午抵達,1,1,0,0,295,2.1585612,1.0416285,2,20053,21896.344,21616.809,20796.905628755463,22557.80575507434,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,5,28045,26903.9,26833.637,26155.215977225394,27520.476931063306,SIN
早晨班機,TPE,下午抵達,5,0,0,1,300,2.1585612,1.0416285,6,22778,24879.164,24669.354,22988.5833058737,27078.52197053189,SIN
早晨班機,TPE,下午抵達,5,0,0,1,280,2.1585612,1.0416285,6,28380,25581.7,25816.252,24549.969710481375,26750.46509066545,SIN
早晨班機,TPE,下午抵達,1,1,0,1,280,2.1585612,1.0416285,6,20930,20979.191,20983.312,20461.804205543172,21861.500203257972,SIN
早晨班機,TPE,下午抵達,5,0,0,1,300,2.1585612,1.0416285,6,21626,24879.164,24669.354,22988.5833058737,27078.52197053189,SIN
早晨班機,TPE,下午抵達,2,1,0,1,285,2.1585612,1.0416285,6,19106,19136.217,19191.451,18768.1684609097,19609.246559369785,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,5,30172,26903.9,26833.637,26155.215977225394,27520.476931063306,SIN
早晨班機,TPE,下午抵達,5,0,2,1,280,2.1585612,1.0416285,6,31521,32028.71,31400.064,29793.60554038165,33216.824526074044,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,5,29218,26903.9,26833.637,26155.215977225394,27520.476931063306,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,5,30123,26903.9,26833.637,26155.215977225394,27520.476931063306,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,5,31187,26903.9,26833.637,26155.215977225394,27520.476931063306,SIN
下午班機,TPE,晚間抵達,1,1,0,0,285,2.1585612,1.0416285,5,22570,27447.584,27451.041,25899.886761783902,28822.13395903128,SIN
晚間班機,TPE,凌晨抵達,2,1,0,0,285,2.1585612,1.0416285,3,18683,18867.842,18793.438,18595.994887282515,19026.7322713852,SIN
早晨班機,TPE,下午抵達,2,1,0,1,285,2.1585612,1.0416285,8,18913,18895.484,19031.254,18758.360213296753,19485.613279020257,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,5,25340,26903.9,26833.637,26155.215977225394,27520.476931063306,SIN
早晨班機,TPE,下午抵達,1,1,0,1,280,2.1585612,1.0416285,7,19476,21003.635,20920.908,20401.615427196008,21493.120792065074,SIN
下午班機,TPE,晚間抵達,1,1,2,1,285,2.1585612,1.0416285,5,34178,32204.434,31928.89,30857.575265072952,33441.27105553712,SIN
下午班機,TPE,晚間抵達,1,1,0,0,285,2.1585612,1.0416285,5,26670,27447.584,27451.041,25899.886761783902,28822.13395903128,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,5,27551,26903.9,26833.637,26155.215977225394,27520.476931063306,SIN
早晨班機,TPE,下午抵達,1,1,2,1,280,2.1585612,1.0416285,6,24787,27217.854,27118.693,25004.101215248782,28888.650867494274,SIN
早晨班機,TPE,下午抵達,1,1,0,1,280,2.1585612,1.0416285,8,20245,20699.457,20699.95,20136.464354643296,21474.79894419727,SIN
上午班機,TPE,下午抵達,1,1,1,1,295,2.1585612,1.0416285,2,20118,26033.904,25634.06,22487.340170473995,27929.212993808684,SIN
早晨班機,TPE,下午抵達,5,0,0,1,280,2.1585612,1.0416285,6,25261,25581.7,25816.252,24549.969710481375,26750.46509066545,SIN
早晨班機,TPE,下午抵達,1,1,0,1,280,2.1585612,1.0416285,6,20617,20979.191,20983.312,20461.804205543172,21861.500203257972,SIN
早晨班機,TPE,下午抵達,1,1,2,0,280,2.1585612,1.0416285,5,31229,28707.264,28582.252,26929.258712693976,30376.942511557532,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,5,23074,26903.9,26833.637,26155.215977225394,27520.476931063306,SIN
早晨班機,TPE,下午抵達,5,0,0,1,280,2.1585612,1.0416285,6,22496,25581.7,25816.252,24549.969710481375,26750.46509066545,SIN
