出發時段,出發機場代號,抵達時段,航空聯盟,機型分類,假期,是否為平日,飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,下界,上界,抵達機場代號
早晨班機,TPE,上午抵達,1,1,2,0,245,-1.882734,0.4139873,3,22520,21517.111,20853.12,18221.385482382862,22931.401797893766,BKK
早晨班機,TPE,上午抵達,1,1,0,1,250,-1.882734,0.4139873,9,5938,8152.9985,7990.5366,7033.224496436708,9297.987159667824,BKK
下午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,7,6440,6263.654,6173.727,5985.38340602306,6391.251880420696,BKK
早晨班機,TPE,上午抵達,2,1,1,1,230,-1.882734,0.4139873,7,12827,14174.804,12801.645,10714.432125204225,15051.044509717118,BKK
下午班機,TPE,下午抵達,2,1,0,1,235,-1.882734,0.4139873,7,10333,7697.2153,7397.714,6834.235579785275,8194.402080947884,BKK
早晨班機,TPE,上午抵達,1,0,0,1,235,-1.882734,0.4139873,7,6096,6453.288,6278.3564,5960.893526862851,6615.5369932244785,BKK
晚間班機,TPE,晚間抵達,1,1,0,1,235,-1.882734,0.4139873,8,6217,6546.7744,6423.2407,6204.182660345056,6677.775264746003,BKK
早晨班機,TPE,上午抵達,1,0,0,1,235,-1.882734,0.4139873,9,6102,6429.9834,6212.9756,5912.6038869632885,6560.269474338832,BKK
上午班機,TPE,下午抵達,5,1,0,1,250,-1.882734,0.4139873,4,6982,8077.863,7904.8857,6870.758193270272,9537.955724193178,BKK
晚間班機,TPE,凌晨抵達,2,0,2,1,245,-1.882734,0.4139873,6,11561,13323.405,13310.996,10249.669162700751,15698.543945598787,BKK
早晨班機,TPE,上午抵達,1,1,0,1,245,-1.882734,0.4139873,9,6474,7970.2363,7728.569,7001.248544227995,8836.40113512339,BKK
上午班機,TPE,下午抵達,5,1,0,1,250,-1.882734,0.4139873,6,7152,8049.744,7825.144,7056.48620774363,8738.061771178054,BKK
下午班機,TPE,晚間抵達,6,0,2,0,235,-1.882734,0.4139873,3,13631,11347.638,11493.814,8773.768095461312,13761.990903634727,BKK
早晨班機,TPE,上午抵達,1,1,0,1,245,-1.882734,0.4139873,6,7290,7583.918,7222.9463,6845.948262794314,7989.371068722783,BKK
早晨班機,TPE,上午抵達,1,1,2,0,250,-1.882734,0.4139873,9,15336,14667.648,14844.72,12676.246829152959,17987.6665230665,BKK
上午班機,TPE,下午抵達,2,1,2,1,240,-1.882734,0.4139873,2,12375,21410.828,20908.361,17138.48701522383,23218.301366257685,BKK
上午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,6,9667,7971.2554,7625.5303,6993.034917328869,8341.229644031151,BKK
早晨班機,TPE,上午抵達,1,1,0,1,245,-1.882734,0.4139873,9,7981,7970.2363,7728.569,7001.248544227995,8836.40113512339,BKK
晚間班機,TPE,晚間抵達,1,1,0,0,235,-1.882734,0.4139873,9,5975,6758.954,6536.5415,6244.263879707059,6873.096523359295,BKK
早晨班機,TPE,上午抵達,1,0,0,1,235,-1.882734,0.4139873,9,5955,6429.9834,6212.9756,5912.6038869632885,6560.269474338832,BKK
下午班機,TPE,晚間抵達,6,0,0,1,235,-1.882734,0.4139873,7,5912,4899.6157,4789.3945,4486.794144198556,5034.993560770582,BKK
下午班機,TPE,下午抵達,2,1,0,0,235,-1.882734,0.4139873,7,5521,7150.5806,6919.7104,6152.350278180955,7885.272630290434,BKK
晚間班機,TPE,凌晨抵達,2,0,0,1,245,-1.882734,0.4139873,8,5986,7720.8843,7067.08,5827.506581923644,8582.103868446122,BKK
晚間班機,TPE,晚間抵達,1,1,0,1,235,-1.882734,0.4139873,9,6246,6739.4805,6544.09,6290.762230365635,6795.55851509466,BKK
晚間班機,TPE,晚間抵達,1,1,0,0,235,-1.882734,0.4139873,8,7567,6517.5845,6349.098,6052.601370746311,6708.370845154429,BKK
早晨班機,TPE,上午抵達,2,1,0,1,230,-1.882734,0.4139873,7,8406,8181.338,7763.7075,7118.520932849217,8462.825181128153,BKK
早晨班機,TPE,上午抵達,2,1,0,1,230,-1.882734,0.4139873,9,6262,8351.518,7675.6763,6702.029197252429,9499.869578502621,BKK
晚間班機,TPE,晚間抵達,1,1,0,1,235,-1.882734,0.4139873,8,7559,6546.7744,6423.2407,6204.182660345056,6677.775264746003,BKK
早晨班機,TPE,上午抵達,1,0,0,1,235,-1.882734,0.4139873,7,6143,6453.288,6278.3564,5960.893526862851,6615.5369932244785,BKK
早晨班機,TPE,上午抵達,1,1,0,0,245,-1.882734,0.4139873,9,6983,7929.125,8047.1567,7134.617290836406,8751.833239285515,BKK
早晨班機,TPE,上午抵達,1,1,2,1,245,-1.882734,0.4139873,9,15981,15168.641,14659.872,12951.616918762636,16717.696653949042,BKK
下午班機,TPE,下午抵達,5,1,2,1,240,-1.882734,0.4139873,4,16243,14564.743,13853.013,12097.283049343514,15728.083131539957,BKK
上午班機,TPE,下午抵達,5,1,0,0,250,-1.882734,0.4139873,6,7524,8225.82,8125.641,6753.436494119702,9824.843327274177,BKK
晚間班機,TPE,凌晨抵達,1,1,0,1,235,-1.882734,0.4139873,10,5849,6293.0273,5930.2495,5746.005149330146,6183.096439035951,BKK
晚間班機,TPE,凌晨抵達,2,0,0,0,245,-1.882734,0.4139873,9,5676,5643.233,5621.2227,5122.306005872528,6137.948324593682,BKK
早晨班機,TPE,上午抵達,1,1,0,0,245,-1.882734,0.4139873,6,7013,7266.41,6955.443,6513.7240355868835,7833.771199328157,BKK
晚間班機,TPE,晚間抵達,1,1,0,1,235,-1.882734,0.4139873,9,7147,6739.4805,6544.09,6290.762230365635,6795.55851509466,BKK
上午班機,TPE,下午抵達,2,1,2,1,240,-1.882734,0.4139873,2,25565,21410.828,20908.361,17138.48701522383,23218.301366257685,BKK
早晨班機,TPE,上午抵達,1,1,0,1,250,-1.882734,0.4139873,7,6866,7889.9937,7608.131,7007.190857822753,8701.399569908463,BKK
早晨班機,TPE,上午抵達,1,1,0,1,250,-1.882734,0.4139873,6,5845,7335.818,7044.918,6469.904442727659,7781.454131032337,BKK
晚間班機,TPE,凌晨抵達,2,0,0,0,245,-1.882734,0.4139873,8,5189,6153.5796,6041.2603,5398.550856973454,7275.02685797573,BKK
早晨班機,TPE,上午抵達,1,1,0,0,250,-1.882734,0.4139873,9,7563,8147.3164,8095.711,7306.4405340964295,9123.20765397444,BKK
下午班機,TPE,晚間抵達,6,0,0,1,235,-1.882734,0.4139873,7,4902,4899.6157,4789.3945,4486.794144198556,5034.993560770582,BKK
上午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,6,6427,7971.2554,7625.5303,6993.034917328869,8341.229644031151,BKK
晚間班機,TPE,晚間抵達,6,0,0,0,240,-1.882734,0.4139873,7,6011,4935.311,4694.057,4156.052780593593,5155.170630895927,BKK
早晨班機,TPE,上午抵達,1,1,0,1,250,-1.882734,0.4139873,9,5950,8152.9985,7990.5366,7033.224496436708,9297.987159667824,BKK
下午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,7,5988,6263.654,6173.727,5985.38340602306,6391.251880420696,BKK
晚間班機,TPE,凌晨抵達,6,0,2,0,240,-1.882734,0.4139873,4,12990,9522.477,9380.222,7328.686185410784,10958.26152220606,BKK
晚間班機,TPE,凌晨抵達,2,0,0,1,245,-1.882734,0.4139873,8,9088,7720.8843,7067.08,5827.506581923644,8582.103868446122,BKK
晚間班機,TPE,晚間抵達,6,0,0,1,240,-1.882734,0.4139873,7,4021,4957.075,4657.573,4212.923617971828,5217.175740710608,BKK
晚間班機,TPE,晚間抵達,6,0,0,1,240,-1.882734,0.4139873,10,4097,4479.2046,4364.291,4053.1652976139453,4767.431124047461,BKK
早晨班機,TPE,上午抵達,1,1,2,1,245,-1.882734,0.4139873,5,17821,15547.465,15094.9375,13790.154984112394,16898.525231805812,BKK
上午班機,TPE,下午抵達,1,1,2,0,235,-1.882734,0.4139873,6,14342,12216.848,12163.054,10651.553897717082,14402.492931146437,BKK
早晨班機,TPE,上午抵達,1,1,2,1,245,-1.882734,0.4139873,2,20501,21718.19,20336.957,18647.27087120204,22690.101056925076,BKK
上午班機,TPE,下午抵達,2,1,0,1,240,-1.882734,0.4139873,6,5920,8771.743,8442.691,7557.109972849779,9470.331158360776,BKK
晚間班機,TPE,晚間抵達,1,1,2,1,235,-1.882734,0.4139873,6,10727,13327.269,12405.228,10857.903086060753,13900.382718951547,BKK
下午班機,TPE,下午抵達,2,1,0,1,235,-1.882734,0.4139873,7,13504,7697.2153,7397.714,6834.235579785275,8194.402080947884,BKK
早晨班機,TPE,上午抵達,1,0,0,1,235,-1.882734,0.4139873,7,6031,6453.288,6278.3564,5960.893526862851,6615.5369932244785,BKK
上午班機,TPE,下午抵達,5,1,2,1,250,-1.882734,0.4139873,2,14900,20507.615,18823.754,15455.540117546372,22323.448457126266,BKK
下午班機,TPE,晚間抵達,6,0,0,1,235,-1.882734,0.4139873,7,4614,4899.6157,4789.3945,4486.794144198556,5034.993560770582,BKK
晚間班機,TPE,凌晨抵達,2,0,0,1,245,-1.882734,0.4139873,9,5180,6415.985,6168.018,5678.588196141559,6748.80372298863,BKK
上午班機,TPE,下午抵達,5,1,0,1,250,-1.882734,0.4139873,6,8992,8049.744,7825.144,7056.48620774363,8738.061771178054,BKK
上午班機,TPE,下午抵達,5,1,2,1,250,-1.882734,0.4139873,3,18512,16220.36,16089.612,13436.618559960854,19395.44031108826,BKK
早晨班機,TPE,上午抵達,1,0,0,1,235,-1.882734,0.4139873,9,5984,6429.9834,6212.9756,5912.6038869632885,6560.269474338832,BKK
下午班機,TPE,下午抵達,1,1,2,1,235,-1.882734,0.4139873,4,17719,12071.558,11796.284,9954.665301313675,13855.68980842187,BKK
上午班機,TPE,下午抵達,2,1,0,0,240,-1.882734,0.4139873,4,9286,7167.905,7011.7686,6286.000401382192,8193.384338822485,BKK
上午班機,TPE,下午抵達,5,1,1,1,250,-1.882734,0.4139873,4,11908,10001.376,9471.634,7914.102366536766,11390.918181046472,BKK
下午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,7,5979,6263.654,6173.727,5985.38340602306,6391.251880420696,BKK
下午班機,TPE,下午抵達,5,1,2,0,240,-1.882734,0.4139873,7,13148,11530.289,11161.9375,9037.844444074306,13465.119435032015,BKK
晚間班機,TPE,晚間抵達,6,0,2,0,240,-1.882734,0.4139873,4,11788,9527.01,9759.39,7963.866813658448,11372.725986747875,BKK
下午班機,TPE,晚間抵達,6,0,0,1,235,-1.882734,0.4139873,7,5829,4899.6157,4789.3945,4486.794144198556,5034.993560770582,BKK
下午班機,TPE,晚間抵達,6,0,0,1,235,-1.882734,0.4139873,5,5896,4845.747,4951.069,4298.130081005792,5871.216038729209,BKK
上午班機,TPE,下午抵達,2,1,0,1,240,-1.882734,0.4139873,6,8460,8771.743,8442.691,7557.109972849779,9470.331158360776,BKK
上午班機,TPE,下午抵達,2,1,0,0,240,-1.882734,0.4139873,6,6038,8031.2466,8054.675,6932.683070235096,9316.117233020126,BKK
早晨班機,TPE,上午抵達,2,1,0,0,230,-1.882734,0.4139873,9,6646,7615.006,7916.022,6524.943977452468,9224.082577196068,BKK
