出發時段,出發機場代號,抵達時段,航空聯盟組合,航空公司組合,航空聯盟,停靠站數量,機型分類,假期,飛行時間兩段分類,是否為平日,停留時間_分鐘,實際飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
早晨班機,TPE,晚間抵達,1,0,3,1,1,2,2,0,200,1005,-1.262158,1.0504261,23,125344.0,129866.14,136070.3,103389.02499019499,183178.34822834845,LHR
下午班機,TPE,下午抵達,1,1,3,1,1,0,2,1,1005,1015,-1.262158,1.0504261,92,17453.0,25889.998,20536.348,17370.800290038405,25952.1864530418,LHR
晚間班機,TPE,晚間抵達,1,1,3,1,1,0,2,1,955,1005,-1.262158,1.0504261,112,17415.0,20311.912,18780.215,16111.656084942984,24298.355671742655,LHR
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,1,635,1015,-1.262158,1.0504261,114,17417.0,22919.748,19235.244,17016.513370544697,24376.230176712637,LHR
早晨班機,TPE,凌晨抵達,1,0,3,1,2,0,2,0,670,1145,-1.262158,1.0504261,39,38645.0,39241.46,35911.137,29343.043968265418,47154.645278145596,LHR
上午班機,TPE,凌晨抵達,1,1,3,1,1,0,2,0,665,995,-1.262158,1.0504261,37,20933.0,22104.465,20893.77,18401.61109527985,27190.239796014826,LHR
上午班機,TPE,晚間抵達,1,0,3,1,1,0,2,1,100,1000,-1.262158,1.0504261,43,125995.0,112388.78,107824.99,86937.5498320194,132900.07068876573,LHR
早晨班機,TSA,下午抵達,1,0,3,1,1,0,2,0,1365,1035,-1.262158,1.0504261,34,163045.0,159050.77,141149.78,78400.67214091783,170712.7512468998,LHR
晚間班機,TPE,上午抵達,1,0,2,1,1,0,1,1,115,1030,-1.262158,1.0504261,106,118711.0,149626.06,112562.766,89208.13237301889,138900.96439433022,LHR
早晨班機,TPE,晚間抵達,1,0,3,1,1,0,2,0,205,1000,-1.262158,1.0504261,41,125951.0,124919.12,116278.0,87566.43457383024,149302.53394306215,LHR
下午班機,TSA,早晨抵達,1,0,3,1,1,0,2,0,450,1045,-1.262158,1.0504261,111,163552.0,112780.9,97438.98,66391.74276547179,143430.69957014683,LHR
晚間班機,TPE,上午抵達,1,0,1,1,1,0,1,0,185,1285,-1.262158,1.0504261,115,150032.0,185193.31,144625.58,125090.02500231187,167167.77258069423,LHR
下午班機,TPE,下午抵達,1,1,2,1,1,0,2,1,940,915,-1.262158,1.0504261,105,14762.0,20712.787,18631.445,16456.50859745906,23067.76127143874,LHR
早晨班機,TPE,下午抵達,1,0,2,1,1,0,2,1,160,845,-1.262158,1.0504261,41,33519.0,38224.973,32012.158,26686.120503720613,38215.91861493001,LHR
下午班機,TPE,下午抵達,1,1,3,1,1,0,2,1,1005,1015,-1.262158,1.0504261,108,17339.0,26508.385,21280.904,18509.383817518723,27781.807688482793,LHR
晚間班機,TPE,凌晨抵達,1,1,3,1,1,0,2,1,70,1000,-1.262158,1.0504261,101,19787.0,22351.049,20280.207,17611.7839241202,24746.389706244692,LHR
早晨班機,TPE,晚間抵達,1,1,1,1,1,0,2,1,165,1030,-1.262158,1.0504261,40,15240.0,22980.355,18482.885,16395.910599115174,21076.1074146078,LHR
晚間班機,TPE,下午抵達,1,0,2,1,1,0,1,1,530,1050,-1.262158,1.0504261,116,23459.0,31456.295,28955.557,24825.294611168167,35835.78455504871,LHR
晚間班機,TPE,早晨抵達,1,1,3,1,1,2,2,0,160,1010,-1.262158,1.0504261,102,30466.0,34819.848,31223.996,28466.247497148597,38017.489624670154,LHR
下午班機,TPE,凌晨抵達,1,1,3,1,1,0,2,1,230,1000,-1.262158,1.0504261,115,17050.0,21351.611,19371.553,17109.209084256552,24031.645336988346,LHR
早晨班機,TPE,下午抵達,1,0,2,0,1,0,1,1,0,970,-1.262158,1.0504261,35,18110.0,33121.26,31888.69,21173.09816221035,42938.57940128851,LHR
