出發時段,出發機場代號,抵達時段,航空聯盟組合,航空公司組合,航空聯盟,停靠站數量,機型分類,假期,飛行時間兩段分類,是否為平日,停留時間_分鐘,實際飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,1,670,1065,0.5468126,0.5891658,34,25071.0,24869.842,25135.453,23034.27397088415,29216.90285825755,JFK
下午班機,TSA,上午抵達,1,0,2,1,2,0,2,1,885,990,0.5468126,0.5891658,57,126043.0,130823.18,118734.69,70152.6200058056,132751.98278715083,JFK
上午班機,TPE,下午抵達,1,1,2,1,1,0,1,1,65,999,0.5468126,0.5891658,28,21113.0,23562.121,23534.318,21341.712261488916,28598.75174420742,JFK
晚間班機,TPE,凌晨抵達,1,1,3,1,1,0,2,0,235,1055,0.5468126,0.5891658,66,28902.0,31076.674,29946.164,27553.629184289464,33105.48645455084,JFK
下午班機,TPE,上午抵達,1,1,1,1,1,1,2,0,1010,990,0.5468126,0.5891658,50,35732.0,36336.293,36740.895,32826.784313598495,42577.01657122556,JFK
晚間班機,TPE,下午抵達,1,0,1,1,0,0,1,1,699,1011,0.5468126,0.5891658,52,22421.0,23695.553,24342.762,21602.15008771099,29605.36801701977,JFK
上午班機,TPE,晚間抵達,1,0,1,1,1,0,1,1,474,995,0.5468126,0.5891658,40,22271.0,25594.51,27186.229,24633.01810466688,30631.536590745236,JFK
晚間班機,TPE,凌晨抵達,1,1,3,1,1,0,2,0,340,1050,0.5468126,0.5891658,73,23927.0,26372.342,26424.08,24403.442535876406,29533.72495315543,JFK
上午班機,TPE,晚間抵達,1,1,2,1,1,0,1,1,455,999,0.5468126,0.5891658,33,21012.0,22374.723,22935.404,20877.499907072728,25847.464439596082,JFK
晚間班機,TPE,下午抵達,1,0,2,1,1,0,1,1,689,1006,0.5468126,0.5891658,54,24423.0,28534.889,27027.19,24112.49886353335,31904.97901943084,JFK
晚間班機,TPE,下午抵達,1,1,3,1,1,2,2,0,770,1065,0.5468126,0.5891658,41,27914.0,32062.91,35378.586,30409.045921481917,42368.39446553544,JFK
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,0,770,1065,0.5468126,0.5891658,52,25868.0,24350.727,24625.186,22654.72845175545,27518.963204323874,JFK
上午班機,TPE,晚間抵達,1,1,3,1,1,0,2,1,280,1055,0.5468126,0.5891658,28,22450.0,27884.916,28746.824,25975.655330092774,33200.50118862202,JFK
上午班機,TPE,晚間抵達,1,1,3,1,1,0,2,0,210,1070,0.5468126,0.5891658,29,34283.0,30654.441,31704.137,29152.050275272406,36571.229780653084,JFK
晚間班機,TPE,下午抵達,1,1,3,1,1,1,2,1,705,1065,0.5468126,0.5891658,63,22855.0,24158.938,23190.395,21142.543694930413,26484.174576070043,JFK
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,1,715,1065,0.5468126,0.5891658,63,22845.0,25518.027,23826.443,21708.397332556695,27267.72400738872,JFK
上午班機,TPE,晚間抵達,1,1,3,1,1,0,2,1,305,960,0.5468126,0.5891658,29,37502.0,36764.836,35338.863,32517.383108473707,39491.81873758316,JFK
