出發時段,出發機場代號,抵達時段,航空聯盟組合,航空公司組合,航空聯盟,停靠站數量,機型分類,假期,飛行時間兩段分類,是否為平日,停留時間_分鐘,實際飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
下午班機,TPE,凌晨抵達,1,1,3,1,1,0,2,1,655,1050,0.5468126,0.5891658,31,120713.0,117551.09,117621.74,112177.87876073016,124065.13288308728,JFK
下午班機,TSA,晚間抵達,1,1,1,1,1,0,2,1,325,940,0.5468126,0.5891658,60,93890.0,109658.03,112507.28,105521.40422776506,125697.18988760265,JFK
下午班機,TPE,上午抵達,1,0,2,1,2,0,2,1,885,990,0.5468126,0.5891658,24,138587.0,143301.23,139191.97,127812.0199494899,152848.99222601257,JFK
晚間班機,TPE,早晨抵達,1,0,5,1,0,0,1,1,332,958,0.5468126,0.5891658,35,124513.0,137486.77,119332.94,100418.92061502305,146991.11948955042,JFK
晚間班機,TPE,早晨抵達,1,0,1,1,1,0,1,1,215,1011,0.5468126,0.5891658,29,147547.0,140516.92,141333.78,125924.05427375331,157123.12754818005,JFK
上午班機,TPE,下午抵達,1,0,1,1,0,0,1,0,141,999,0.5468126,0.5891658,14,150739.0,144081.64,141920.78,126594.5836671855,155076.25349374142,JFK
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,1,605,1070,0.5468126,0.5891658,36,110464.0,128026.12,123940.37,109948.56058467663,141911.46840739,JFK
下午班機,TPE,上午抵達,1,1,2,1,2,0,2,1,1090,985,0.5468126,0.5891658,56,93832.0,105673.516,102586.78,96172.13625785962,110967.86736175959,JFK
下午班機,TPE,晚間抵達,1,0,2,0,1,0,1,1,0,885,0.5468126,0.5891658,57,118817.0,125863.1,118525.836,105121.35933084514,131201.9289685278,JFK
晚間班機,TPE,晚間抵達,1,1,5,1,1,0,2,1,1200,1075,0.5468126,0.5891658,53,59348.0,92652.47,88120.49,70577.08665538336,102518.28935297871,JFK
下午班機,TPE,晚間抵達,1,1,2,1,2,0,2,1,1660,985,0.5468126,0.5891658,65,101078.0,99422.71,103315.195,94778.63685326875,118132.09528782226,JFK
下午班機,TPE,晚間抵達,1,0,1,1,1,0,2,1,215,940,0.5468126,0.5891658,57,149788.0,139681.19,135883.05,123278.96925425727,149101.31671626773,JFK
上午班機,TSA,晚間抵達,1,1,3,1,1,0,2,1,385,945,0.5468126,0.5891658,30,155282.0,161434.25,147711.17,136404.82718254218,162342.12380396217,JFK
晚間班機,TPE,凌晨抵達,1,1,3,1,1,0,2,0,340,1050,0.5468126,0.5891658,73,126391.0,130584.34,127444.19,114889.3495092001,135251.89674524724,JFK
上午班機,TSA,晚間抵達,1,1,3,1,1,0,2,1,385,945,0.5468126,0.5891658,33,136084.0,159493.08,148167.73,138797.90008834528,161194.65968397196,JFK
上午班機,TPE,下午抵達,1,1,2,1,1,0,1,1,65,999,0.5468126,0.5891658,33,165761.0,139487.11,145394.89,126709.43276215706,161449.91965579308,JFK
晚間班機,TPE,晚間抵達,1,1,3,1,1,0,2,1,1025,1065,0.5468126,0.5891658,77,306730.0,123393.125,128525.61,113113.70323312926,146926.02609387157,JFK
下午班機,TPE,下午抵達,1,1,3,1,1,0,2,1,935,1065,0.5468126,0.5891658,51,121299.0,138898.9,128527.94,113042.75210662627,138682.823237593,JFK
下午班機,TSA,下午抵達,1,1,2,1,1,0,2,0,1000,990,0.5468126,0.5891658,65,202547.0,222066.08,209410.42,188814.76872938912,238676.10283426623,JFK
晚間班機,TPE,下午抵達,1,1,1,1,1,0,1,1,120,1445,0.5468126,0.5891658,36,175350.0,199875.47,190968.36,167227.16479353272,218121.52046117093,JFK
晚間班機,TPE,凌晨抵達,1,1,3,1,1,0,2,1,345,1050,0.5468126,0.5891658,55,114369.0,123391.24,120545.28,110768.49973896437,125301.99672409416,JFK
下午班機,TPE,晚間抵達,1,1,3,1,1,0,2,1,120,1060,0.5468126,0.5891658,57,118125.0,122927.3,121741.96,113997.86404155643,129999.54818885494,JFK
下午班機,TPE,晚間抵達,1,1,3,1,1,0,2,1,65,1060,0.5468126,0.5891658,64,122553.0,127085.91,126297.17,117692.37652651507,138741.1783511689,JFK
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,1,770,1065,0.5468126,0.5891658,63,110292.0,104667.32,106449.02,93883.77380304619,113792.53179398931,JFK
晚間班機,TPE,下午抵達,1,0,1,1,0,0,1,0,651,999,0.5468126,0.5891658,73,138196.0,128249.5,128114.914,116549.58799230935,140905.12209092473,JFK
早晨班機,TPE,晚間抵達,1,1,3,1,1,0,2,1,360,1065,0.5468126,0.5891658,17,119256.0,122216.695,119570.69,111925.75159086841,126864.70513000437,JFK
上午班機,TPE,晚間抵達,1,1,5,1,1,2,2,1,455,1070,0.5468126,0.5891658,26,79496.0,101412.77,99227.766,82321.9278684447,118224.76671284121,JFK
上午班機,TSA,下午抵達,1,0,3,1,1,0,2,0,230,965,0.5468126,0.5891658,32,140877.0,138207.84,146709.62,130701.77526855856,161484.11651895093,JFK
早晨班機,TSA,晚間抵達,1,0,1,1,1,0,2,0,710,930,0.5468126,0.5891658,15,149526.0,142866.62,143292.89,129579.17461549737,154666.1712046659,JFK
下午班機,TSA,上午抵達,1,0,1,1,1,0,2,0,915,945,0.5468126,0.5891658,62,162649.0,168409.48,157230.89,142435.2341953369,175438.87407172576,JFK
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,1,705,1065,0.5468126,0.5891658,67,126889.0,132594.61,125523.15,115045.40075297469,133911.83365764568,JFK
下午班機,TSA,晚間抵達,1,1,1,1,1,0,2,1,325,940,0.5468126,0.5891658,57,107458.0,110568.18,112546.99,106619.67879078523,125509.77310971406,JFK
下午班機,TPE,晚間抵達,1,1,5,1,1,0,2,1,120,1105,0.5468126,0.5891658,61,166186.0,179858.92,177851.67,153818.8223083318,213366.51582015413,JFK
下午班機,TPE,下午抵達,1,1,3,1,1,0,2,1,865,1065,0.5468126,0.5891658,61,127554.0,119859.31,115209.18,107837.08862976269,122896.1373229142,JFK
下午班機,TSA,上午抵達,1,1,3,1,1,0,2,1,940,945,0.5468126,0.5891658,52,164661.0,153053.89,148020.84,136434.53247009256,172021.9220551887,JFK
早晨班機,TPE,晚間抵達,1,1,3,1,1,0,2,1,360,1065,0.5468126,0.5891658,17,142821.0,122216.695,119570.69,111925.75159086841,126864.70513000437,JFK
早晨班機,TPE,下午抵達,1,0,2,1,1,0,2,0,1480,1020,0.5468126,0.5891658,19,171600.0,203181.7,191333.31,164306.03728771146,218113.80313562488,JFK
下午班機,TPE,晚間抵達,1,0,2,0,1,0,1,1,0,885,0.5468126,0.5891658,58,125758.0,123157.17,116938.35,104885.56464117288,131872.37221803394,JFK
上午班機,TPE,下午抵達,1,1,2,1,1,0,1,1,65,999,0.5468126,0.5891658,37,151657.0,135403.64,139555.62,119128.34125209691,157830.4673062521,JFK
晚間班機,TPE,晚間抵達,1,1,1,1,1,0,1,1,530,1430,0.5468126,0.5891658,38,167666.0,161650.86,161856.03,147728.59257896076,174731.38464865842,JFK
晚間班機,TPE,凌晨抵達,1,1,3,1,1,0,2,0,345,1050,0.5468126,0.5891658,78,133476.0,139029.72,137065.61,126114.36882231176,150220.80175761602,JFK
早晨班機,TPE,晚間抵達,1,0,2,1,2,0,2,0,490,985,0.5468126,0.5891658,18,191075.0,144366.64,142540.94,124793.55030592954,161810.03682107464,JFK
下午班機,TPE,晚間抵達,1,0,5,1,1,0,2,0,255,1075,0.5468126,0.5891658,63,150954.0,154081.12,145912.47,128315.1600266248,165240.70603403472,JFK
早晨班機,TPE,晚間抵達,1,0,1,1,1,0,2,1,655,945,0.5468126,0.5891658,16,149788.0,140635.44,132259.92,119511.0156272398,143478.66857645588,JFK
晚間班機,TPE,凌晨抵達,1,1,3,1,1,0,2,0,300,1050,0.5468126,0.5891658,64,133360.0,128882.664,133595.19,121376.35150360281,146517.27213283782,JFK
晚間班機,TPE,晚間抵達,1,0,1,1,1,0,1,1,1016,953,0.5468126,0.5891658,70,138867.0,139781.8,125566.49,115036.44546793179,140817.1618419689,JFK
上午班機,TPE,凌晨抵達,1,1,3,1,1,0,2,1,930,1045,0.5468126,0.5891658,37,113464.0,111102.08,110310.87,105517.03931800292,114335.55142652817,JFK
下午班機,TSA,上午抵達,1,1,3,1,1,0,2,1,940,945,0.5468126,0.5891658,51,144710.0,161047.06,158096.81,144935.4577655503,185197.1653790357,JFK
晚間班機,TPE,凌晨抵達,1,1,3,1,1,0,2,1,240,1050,0.5468126,0.5891658,29,164526.0,151613.77,147723.98,130873.94314767918,163851.49055251785,JFK
下午班機,TPE,凌晨抵達,1,1,3,1,1,0,2,0,655,1050,0.5468126,0.5891658,63,137854.0,121110.61,122183.13,116331.42735538662,129625.58310487487,JFK
晚間班機,TPE,上午抵達,1,1,2,1,2,0,2,1,665,990,0.5468126,0.5891658,62,94441.0,94551.734,95105.2,90397.34591890207,101596.65081769101,JFK
晚間班機,TPE,上午抵達,1,1,2,1,2,0,2,1,665,990,0.5468126,0.5891658,29,116946.0,113277.83,114439.02,101565.63587653273,122952.0298912422,JFK
晚間班機,TPE,下午抵達,1,0,2,1,0,0,1,0,791,994,0.5468126,0.5891658,71,143194.0,136654.2,145514.33,130899.41977092986,166104.7163627687,JFK
凌晨班機,TPE,下午抵達,1,0,3,1,1,0,2,1,645,980,0.5468126,0.5891658,8,106476.0,114740.42,110714.95,100301.62321954031,123787.82326029641,JFK
下午班機,TPE,上午抵達,1,1,2,1,2,0,2,0,1090,985,0.5468126,0.5891658,65,106030.0,124878.62,125852.664,115037.22439919473,138164.76847348188,JFK
早晨班機,TSA,上午抵達,1,0,1,1,1,0,2,1,1470,945,0.5468126,0.5891658,16,111372.0,116448.46,117863.61,108715.49648279103,131076.64811568643,JFK
下午班機,TSA,晚間抵達,1,1,1,1,1,0,2,1,1765,940,0.5468126,0.5891658,57,135896.0,117308.97,111941.44,98753.36999954283,126580.45289740876,JFK
晚間班機,TPE,上午抵達,1,1,1,1,1,0,1,1,120,1445,0.5468126,0.5891658,63,182951.0,164164.4,166549.55,156008.24845149327,180190.3199679329,JFK
下午班機,TSA,下午抵達,1,0,3,1,1,0,2,1,1305,965,0.5468126,0.5891658,53,111722.0,115375.09,120947.4,111572.18505335918,145538.23337928738,JFK
晚間班機,TPE,晚間抵達,1,0,2,1,1,0,1,0,951,963,0.5468126,0.5891658,32,151296.0,145093.48,134218.12,120541.85116945299,151639.45910113901,JFK
早晨班機,TPE,晚間抵達,1,0,3,1,1,0,2,1,435,1055,0.5468126,0.5891658,17,306093.0,299996.75,271526.8,225090.0805511645,302572.4396795071,JFK
晚間班機,TPE,凌晨抵達,1,1,3,1,1,0,2,1,400,1050,0.5468126,0.5891658,63,112224.0,120879.48,115104.734,107258.19002151638,123320.15465371602,JFK
早晨班機,TPE,晚間抵達,1,0,3,1,1,0,2,1,435,1055,0.5468126,0.5891658,9,306145.0,293607.94,267793.03,223909.8419003793,298358.2898786028,JFK
晚間班機,TPE,凌晨抵達,1,1,3,1,1,0,2,1,240,1050,0.5468126,0.5891658,29,248074.0,151613.77,147723.98,130873.94314767918,163851.49055251785,JFK
晚間班機,TPE,凌晨抵達,1,1,3,1,1,0,2,1,335,1050,0.5468126,0.5891658,70,166847.0,154314.2,146001.69,126427.61731695785,159199.20847986866,JFK
下午班機,TPE,上午抵達,1,1,2,1,2,0,2,1,1090,985,0.5468126,0.5891658,52,95871.0,100426.36,99871.164,95699.61487085918,105091.33298527972,JFK
下午班機,TPE,上午抵達,1,0,2,1,2,0,2,1,885,990,0.5468126,0.5891658,57,130380.0,139264.47,132119.98,123900.23237239894,140893.414846163,JFK
