出發時段,出發機場代號,抵達時段,航空聯盟組合,航空公司組合,航空聯盟,停靠站數量,機型分類,假期,飛行時間兩段分類,是否為平日,停留時間_分鐘,實際飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
上午班機,TSA,下午抵達,1,1,3,1,1,0,2,1,1230,1035,-1.262158,1.0504261,29,96785.0,101483.5,101205.82,90319.1695029988,116785.13577799422,LHR
下午班機,TPE,下午抵達,1,1,3,1,1,0,2,1,855,1015,-1.262158,1.0504261,112,91200.0,86131.39,90569.27,84108.86628223972,98237.9309904205,LHR
晚間班機,TPE,下午抵達,1,0,1,1,1,0,1,0,435,1040,-1.262158,1.0504261,79,120193.0,147954.38,133454.98,115661.0944029861,160978.65121992177,LHR
下午班機,TPE,下午抵達,1,1,3,1,1,2,2,1,930,1010,-1.262158,1.0504261,106,89070.0,93477.26,94836.48,86945.24639202037,102149.05768351986,LHR
晚間班機,TPE,下午抵達,1,1,1,1,1,0,1,1,470,1015,-1.262158,1.0504261,104,104198.0,104585.4,103646.39,91966.98308559321,117581.76717874565,LHR
下午班機,TSA,晚間抵達,1,0,3,1,1,0,2,1,995,1070,-1.262158,1.0504261,115,277547.0,204945.84,242808.39,204588.13968436696,291225.31674555596,LHR
晚間班機,TPE,下午抵達,1,1,5,1,2,0,1,1,395,1075,-1.262158,1.0504261,102,95239.0,95716.664,93982.84,82688.9953929981,103899.17343432794,LHR
下午班機,TSA,下午抵達,1,1,2,1,1,2,2,1,845,875,-1.262158,1.0504261,51,111952.0,112542.914,125201.664,109465.21465961271,148691.3394027081,LHR
早晨班機,TSA,晚間抵達,1,0,3,1,1,0,2,0,130,1070,-1.262158,1.0504261,43,319240.0,250553.5,269778.84,211365.4132561057,317877.2185416665,LHR
早晨班機,TSA,早晨抵達,1,0,3,1,1,0,2,0,835,1035,-1.262158,1.0504261,41,314547.0,301706.2,282427.8,223176.31510026756,326985.66064550215,LHR
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,1,625,1015,-1.262158,1.0504261,109,110506.0,97513.445,97445.484,89159.12053248471,104767.598434469,LHR
下午班機,TPE,下午抵達,1,1,3,1,1,2,2,0,1060,1015,-1.262158,1.0504261,46,131184.0,129649.336,123573.19,111152.74159660039,132321.88229450377,LHR
凌晨班機,TPE,下午抵達,1,1,2,1,1,0,1,0,210,970,-1.262158,1.0504261,12,110753.0,108120.11,104827.95,95459.97617011121,115286.70400680548,LHR
上午班機,TPE,凌晨抵達,1,1,3,1,1,0,2,1,595,1010,-1.262158,1.0504261,44,89543.0,88386.54,88750.086,83676.63771139305,94295.80664796608,LHR
上午班機,TPE,凌晨抵達,1,0,3,1,1,0,2,1,515,1155,-1.262158,1.0504261,44,91575.0,100205.94,98482.7,79215.43959989019,135661.06852131107,LHR
晚間班機,TPE,上午抵達,1,0,2,1,1,0,1,1,135,1055,-1.262158,1.0504261,106,151184.0,117833.375,121951.82,104203.95020516688,141106.5044583708,LHR
下午班機,TPE,早晨抵達,1,1,1,1,1,0,2,1,375,1140,-1.262158,1.0504261,120,95867.0,112760.57,103354.81,94733.65419371217,109982.05671534459,LHR
早晨班機,TPE,晚間抵達,1,0,1,1,1,2,2,0,155,1045,-1.262158,1.0504261,23,208613.0,193095.47,181850.84,148654.70883521775,211921.36557821638,LHR
凌晨班機,TPE,下午抵達,1,1,2,1,1,0,1,1,450,970,-1.262158,1.0504261,13,95106.0,100363.65,97050.766,89853.1953948498,104552.22825045355,LHR
晚間班機,TPE,下午抵達,1,1,2,1,1,0,2,1,705,1040,-1.262158,1.0504261,107,89013.0,87312.57,88894.94,83392.06677443326,98099.01980532985,LHR
下午班機,TSA,下午抵達,1,0,2,1,1,0,2,1,1260,830,-1.262158,1.0504261,107,148731.0,140605.92,140935.11,121831.36487836254,167842.01589819338,LHR
上午班機,TPE,凌晨抵達,1,1,3,1,1,0,2,0,595,1010,-1.262158,1.0504261,47,99245.0,99973.8,101505.47,92416.54210161953,110769.12564604224,LHR
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,1,770,1010,-1.262158,1.0504261,108,90544.0,87244.984,92990.0,84353.74263861851,102330.7256057027,LHR
下午班機,TPE,下午抵達,1,1,1,1,1,0,1,1,435,1320,-1.262158,1.0504261,115,244342.0,240933.08,231908.2,210287.90497889914,252571.77362854654,LHR
下午班機,TPE,晚間抵達,1,1,5,1,1,0,2,1,1215,925,-1.262158,1.0504261,115,132359.0,114058.44,115372.78,88686.39700920018,148472.29309142896,LHR
晚間班機,TPE,上午抵達,1,0,1,1,1,0,1,1,185,1285,-1.262158,1.0504261,118,277188.0,226732.7,226352.03,171564.84476386558,259239.41545494169,LHR
下午班機,TPE,下午抵達,1,1,3,1,1,0,2,1,1000,1010,-1.262158,1.0504261,108,90421.0,82982.65,93261.234,84592.56909656587,101172.62236276582,LHR
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,1,735,1010,-1.262158,1.0504261,98,91024.0,88160.51,91754.766,85664.48000944624,98469.96983498588,LHR
下午班機,TSA,晚間抵達,1,0,3,1,1,2,2,1,1240,1020,-1.262158,1.0504261,114,88413.0,106427.805,124332.22,91183.64791099193,168958.28920130993,LHR
晚間班機,TPE,晚間抵達,1,1,1,1,1,0,2,1,935,1030,-1.262158,1.0504261,112,69059.0,77636.56,81865.98,75387.4842029023,87859.2317190822,LHR
