出發時間,出發時段,出發機場代號,抵達機場代號,航班代碼,隨機購買平均價格,預測最低價格,最低價格,效能,最佳效能,標準化效能
下午1:50,下午班機,TSA,GMP,CI 835,20849.0,18009.24,17395,0.13620605304810773,0.1656674181015876,0.8221656050955408
下午1:30,下午班機,TSA,GMP,JX 745,20919.0,18346.201,17851,0.12298862278311579,0.1466609302547923,0.8385915906127768
清晨7:00,早晨班機,TSA,GMP,CI 833,20079.75,19342.941,18481,0.036694132148059666,0.07962001518943214,0.46086567630961756
上午8:25,早晨班機,TSA,GMP,BR 211,23889.0,20560.0,19024,0.13935284021934782,0.20365021558039265,0.6842754367934224
上午8:05,早晨班機,TSA,GMP,BR 67,21274.0,20683.506,19024,0.02775660430572524,0.10576290307417505,0.2624417777777772
清晨7:35,早晨班機,TSA,GMP,BR 75,27210.0,20560.0,21170,0.24439544285189269,0.22197721425946343,1.1009933774834437
下午6:50,晚間班機,TSA,GMP,TG 635,19024.5,18429.725,16652,0.031263633735446474,0.12470761386633025,0.2506954689146476
晚上10:30,晚間班機,TSA,GMP,CI 837,19613.25,17931.76,17124,0.08573234930467932,0.12691675270544148,0.6755006528070711
晚上8:45,晚間班機,TSA,GMP,BR 205,21317.75,18429.725,19024,0.1354751322254929,0.10759812832029647,1.2590844686648506
晚上10:30,晚間班機,TSA,GMP,BR 61,21373.75,20488.715,19024,0.04140756769401719,0.10993625358208083,0.3766507075220768
上午10:05,晚間班機,TSA,GMP,CI 831,24579.5,19377.32,18482,0.21164710429422895,0.24807258080921094,0.8531660516605166
上午9:25,晚間班機,TSA,GMP,JX 741,25995.75,18520.658,17852,0.28755054191550544,0.3132723618283758,0.9178931082118189
下午1:55,下午班機,TSA,GMP,TG 633,16669.25,16051.591,16652,0.037053796661517445,0.0010348395998620215,35.806318840579685
下午1:50,下午班機,TSA,GMP,CI 835,21481.0,18240.148,17396,0.15087062985894506,0.19016805549089894,0.7933542227662176
清晨7:00,早晨班機,TSA,GMP,CI 833,22609.0,19156.81,18482,0.15269096377548758,0.18253792737405458,0.8364889750424034
上午8:25,早晨班機,TSA,GMP,BR 211,24512.5,21013.432,21170,0.14274627231004586,0.1363590005099439,1.0468415856394913
上午8:05,早晨班機,TSA,GMP,BR 67,28973.75,21013.432,21376,0.27474241339143185,0.26222874153328446,1.0477204435523673
下午6:50,晚間班機,TSA,GMP,TG 635,18070.75,19322.402,16655,-0.06926397631531608,0.07834483903545786,-0.8840911177820929
晚上10:30,晚間班機,TSA,GMP,CI 837,18599.75,18677.705,17125,-0.00419118536539479,0.07928870011693706,-0.052859806746907434
晚上8:45,晚間班機,TSA,GMP,BR 205,21310.75,19322.402,19025,0.0933025820301961,0.10725807397674883,0.8698886579897196
上午10:05,晚間班機,TSA,GMP,CI 831,30125.5,19701.568,25402,0.3460168959851289,0.15679407810658744,2.206823753572563
上午9:25,晚間班機,TSA,GMP,JX 741,25696.0,19292.133,17854,0.24921649283935238,0.3051836861768369,0.816611451160418
上午9:40,晚間班機,TSA,GMP,BR 201,24321.75,20200.77,21170,0.16943599864318973,0.12958565892668086,1.3075212183707463
下午1:55,下午班機,TSA,GMP,TG 633,16673.0,16031.52,16652,0.03847417981167154,0.0012595213818748876,30.546666666666646
下午1:50,下午班機,TSA,GMP,CI 835,20858.75,18299.092,17401,0.12271387307484866,0.1657697608917121,0.740266936591714
清晨7:00,早晨班機,TSA,GMP,CI 833,24364.25,19213.656,18487,0.21139965318037704,0.24122433483485023,0.8763612233612662
上午8:25,早晨班機,TSA,GMP,BR 211,23439.5,20953.797,21178,0.10604761193711476,0.09648243349900809,1.0991390669909358
上午8:05,早晨班機,TSA,GMP,BR 67,24075.0,20740.096,21170,0.13852145379023878,0.12066458982346832,1.1479876075731492
清晨7:35,早晨班機,TSA,GMP,BR 75,21325.5,20953.797,21166,0.017429978195118583,0.007479308808703196,2.33042633228841
