出發時間,出發時段,出發機場代號,抵達機場代號,航班代碼,隨機購買平均價格,預測最低價格,最低價格,效能,最佳效能,標準化效能
上午10:35,早晨班機,TSA,NRT,JL 802,10636.0,9306.613889202728,10259,0.12498929210203757,0.035445656261752535,3.526223105563055
上午8:50,早晨班機,TSA,NRT,BR 198,13765.0,16551.653246115966,11054,-0.20244484170838836,0.19694878314565928,-1.0279060295521822
下午3:35,下午班機,TSA,HND,JL 98,10754.5,8791.575844788873,8984,0.1825211916138479,0.1646287600539309,1.1086835104270698
上午8:25,早晨班機,TSA,SIN,JX 771,9074.75,5498.2599280485565,7646,0.39411444634303355,0.1574423537838508,2.503230146597686
上午10:35,早晨班機,TSA,NRT,JL 802,15275.75,14629.577672771096,15259,0.042300530398108355,0.001096509173035694,38.57745237187484
下午1:30,下午班機,TSA,HND,NH 852,14603.0,13303.898358887574,14474,0.08896128474371194,0.00883380127371088,10.070555357460663
上午8:40,早晨班機,TSA,SIN,JX 771,5691.0,5883.1955675744675,5327,-0.03377184459224522,0.06396063960639606,-0.528009801028757
下午5:35,下午班機,TSA,SIN,SQ 879,10597.25,9359.965597998122,10585,0.11675523385801773,0.0011559602727122603,101.00280832668395
晚上8:25,晚間班機,TSA,HKG,HX 285,4053.0,1857.775936198145,2166,0.5416294260552319,0.4655810510732791,1.1633407863284868
中午12:25,下午班機,TSA,HKG,BR 869,4108.75,3823.9876616841298,3723,0.06930631903033045,0.0938850015211439,0.7382043767099682
晚上9:10,晚間班機,TSA,HKG,CI 921,3858.0,3732.508155045043,3590,0.0325276943895689,0.06946604458268534,0.468253152817003
上午10:45,早晨班機,TSA,HKG,CX 489,4495.5,4383.95041873743,4396,0.024813609445572333,0.022133244355466576,1.1211013192218133
中午12:25,下午班機,TSA,HKG,CX 461,4562.5,4378.0564454206215,4353,0.04042598456534324,0.04591780821917808,0.8803988285411863
下午5:40,下午班機,TSA,ICN,CI 2160,11146.75,9442.08649665588,9684,0.1529291949083024,0.13122659071029671,1.1653826719153102
晚上8:55,晚間班機,TSA,HND,MM 860,11402.5,6468.075983644838,6540,0.43274931079633083,0.42644156983117737,1.014791571486923
