出發時間,出發時段,出發機場代號,抵達機場代號,航班代碼,隨機購買平均價格,預測平均價格,平均價格,效能,最佳效能,標準化效能
下午1:55,下午班機,TSA,NRT,TG 633,16671.5,16648.14400602316,16675,0.0014009533621352826,0.0021893650841256036,0.6398902459407771
下午3:45,下午班機,TSA,ICN,CI 162,18734.75,18081.78454723927,18327,0.034853171393305536,0.07460734730914477,0.46715467913484593
上午9:30,凌晨班機,TSA,NRT,CI 100,22913.75,24685.644093475817,23946,-0.07732885684254291,0.04345643991053407,-1.7794567848112655
下午4:25,下午班機,TSA,NRT,CI 106,22677.75,22708.52839956917,22560,-0.0013572069349548168,0.09373725347532273,-0.01447884255870709
上午10:15,凌晨班機,TSA,NRT,JX 802,24992.25,25078.53932235846,24490,-0.003452643213734718,0.11928697896347867,-0.028944007499693586
下午6:35,晚間班機,TSA,HKG,CX 473,16913.75,15686.85614341379,14665,0.07253825181205882,0.15589387332791368,0.46530534050866024
清晨7:00,早晨班機,TSA,NRT,CI 833,20374.75,20713.63353906524,20677,-0.016632525015778766,0.03871213143719555,-0.4296463252808094
中午12:25,下午班機,TSA,ICN,KE 186,17405.5,19425.325520362105,17689,-0.11604524548919047,0.0422567579213467,-2.7461937734359005
下午4:30,下午班機,TSA,HND,BR 190,29650.5,34637.595139859644,32776,-0.16819598792127094,0.11795753865870727,-1.4259028276939654
清晨7:55,早晨班機,TSA,NRT,BR 184,42669.25,31828.5911245127,41188,0.25406255970018926,0.3958412674232615,0.6418293912456773
上午9:35,凌晨班機,TSA,SIN,BR 215,18831.75,20467.18493950011,19311,-0.08684455451565105,0.08213522375774955,-1.0573363112979548
上午8:20,早晨班機,TSA,HKG,CX 407,14340.5,14328.416324134098,14322,0.0008426258405147992,0.004218820822147066,0.19973017960169384
下午3:00,下午班機,TSA,NRT,JX 804,23513.75,24847.318519628105,24485,-0.05671441261509137,0.06390941470416246,-0.8874187453855297
下午4:50,下午班機,TSA,HND,NH 854,34628.0,33348.52110876779,34695,0.03694925757283733,0.0027723229756266604,13.3279051170022
下午1:20,下午班機,TSA,HKG,CX 495,14342.75,14367.837659372257,14881,-0.0017491526640467758,0.004375032682017047,-0.3998033366096716
下午3:15,下午班機,TSA,ICN,BR 160,20199.5,20344.467641279916,20213,-0.007176793548351013,0.0016089507166018961,-4.460542808612809
下午1:50,下午班機,TSA,NRT,CI 835,27783.5,23670.064512871773,26936,0.14805317858182832,0.17119873306098943,0.8648030037061342
上午8:20,早晨班機,TSA,HKG,CX 407,14286.25,14328.416324134098,14322,-0.0029515320069365665,0.0004374835943652113,-6.746611861455603
上午10:05,凌晨班機,TSA,NRT,CI 831,23667.75,22024.204830207047,23286,0.06944239185359627,0.22007795417815382,0.31553542976586574
晚上10:30,晚間班機,TSA,HKG,CI 607,14266.25,14471.158502453089,14445,-0.014363164984006915,0.06394462455095067,-0.22461880236019585
下午5:00,下午班機,TSA,HKG,CX 421,11558.75,13710.351748478795,11683,-0.18614484684579174,0.6100789445225479,-0.30511599935885353
上午9:50,凌晨班機,TSA,HKG,CX 469,14282.75,15077.136208808428,14312,-0.05561857547100019,0.00033256900806917435,-167.23920185440588
上午9:35,凌晨班機,TSA,SIN,BR 215,20632.5,20467.18493950011,19826,0.00801236207439177,0.06816915061189871,0.11753648098107941
上午9:35,凌晨班機,TSA,SIN,BR 215,21848.0,28530.50922857585,22129,-0.3058636593086713,0.12001098498718418,-2.5486305219587533
上午9:50,凌晨班機,TSA,HKG,CX 499,14313.75,14624.592399431134,14308,-0.021716349624042217,0.0024975984630163303,-8.694892291779981
清晨7:15,早晨班機,TSA,HKG,CI 601,14450.25,14532.736013682888,14545,-0.005708275890236389,0.04430719191709486,-0.1288340705706964
上午9:30,凌晨班機,TSA,NRT,CI 100,31377.0,26876.866929427793,29745,0.14342139371425588,0.2836153870669599,0.5056897483506244
上午9:30,凌晨班機,TSA,NRT,CI 100,28739.75,24992.34314651477,29368,0.13039107346045914,0.2076827390634922,0.6278377974425517
上午9:00,凌晨班機,TSA,HND,CI 220,24432.5,27991.766436717207,27007,-0.14567753757156277,0.03288652409700194,-4.429703094856512
清晨7:25,早晨班機,TSA,SIN,BR 225,21834.0,19633.32246723661,19923,0.10079131321624032,0.11944673445085646,0.843818072378601
清晨7:55,早晨班機,TSA,NRT,BR 184,25101.25,26063.25888151415,25317,-0.03832513844984412,0.008137044967880086,-4.709957804230843
上午9:25,凌晨班機,TSA,NRT,JX 741,26035.0,26820.215463104418,25522,-0.03015999474186356,0.2908392548492414,-0.10369987626841229
上午9:40,凌晨班機,TSA,NRT,BR 201,33543.5,26832.066868848084,33850,0.2000814802018846,0.033613069596195984,5.952490581952919
晚上10:30,晚間班機,TSA,NRT,CI 837,21734.5,19099.603876089037,22680,0.12123104391225761,0.21314039890496675,0.5687849161167756
清晨7:55,早晨班機,TSA,NRT,BR 184,33177.75,31828.5911245127,34054,0.04066456813639566,0.1081673712050998,0.3759411704597147
下午4:05,下午班機,TSA,SIN,SQ 881,21757.0,20868.528489526743,22537,0.040836122189330186,0.0002298110952796801,177.69430209465136
晚上8:45,晚間班機,TSA,NRT,BR 205,24750.75,19966.69928650014,24506,0.19328912107713336,0.14483399492944657,1.3345563047631939
下午2:10,下午班機,TSA,SIN,SQ 877,21654.75,27101.450264227045,23932,-0.25152450451873354,0.0048372758863528785,-51.99713856064005
下午3:15,下午班機,TSA,ICN,BR 160,21952.25,20344.467641279916,22265,0.0732399803537261,0.08100536391486067,0.9041374152791135
下午3:20,下午班機,TSA,NRT,BR 196,24999.75,24972.70655926395,25157,0.0010817484469265374,0.004310043100431004,0.2509832086872548
清晨7:00,早晨班機,TSA,NRT,CI 833,23089.5,23219.006507162965,25936,-0.005608891797698743,0.2004157734034951,-0.027986279235648868
清晨7:55,早晨班機,TSA,ICN,CI 160,19220.75,18585.192111333115,18833,0.03306623772053039,0.10258444649662474,0.32233188216908054
上午9:40,凌晨班機,TSA,NRT,BR 201,23438.5,24153.485415114388,22388,-0.03050474284251928,0.09695586321650276,-0.3146250451548463
下午1:30,下午班機,TSA,NRT,JX 745,20915.75,20933.82078042881,20786,-0.0008639795574536124,0.14638490133033719,-0.005902108411467427
上午8:20,早晨班機,TSA,HKG,CX 407,14340.75,14328.416324134098,14317,0.000860043991137317,0.0043756428359744085,0.19655260344067696
上午9:35,凌晨班機,TSA,SIN,BR 215,18880.25,20467.18493950011,19392,-0.0840526444035493,0.08512863971610546,-0.9873603605538103
上午8:25,早晨班機,TSA,SIN,JX 771,21104.0,25229.311523355613,22319,-0.19547533753580423,0.002084912812736922,-93.75708007626392
清晨7:15,早晨班機,TSA,HKG,CI 601,14118.75,14532.736013682888,14462,-0.029321718543276733,0.05416555998229305,-0.5413350947144667
上午8:05,早晨班機,TSA,NRT,BR 67,30967.5,23573.851367621304,29170,0.2387551023614659,0.1972874788084282,1.2101888259888198
上午8:20,早晨班機,TSA,HKG,CX 407,14313.5,14328.416324134098,14318,-0.001042115774205996,0.002410311943270339,-0.4323572212781891
中午12:25,下午班機,TSA,HKG,BR 869,15284.0,15521.028187924843,15150,-0.015508256210733004,0.02708714996074326,-0.5725318548909257
下午2:35,下午班機,TSA,NRT,CI 108,23328.5,22901.799278646988,22751,0.018290962614527825,0.08519621921683777,0.21469218684428296
清晨7:00,早晨班機,TSA,NRT,CI 833,20825.5,20713.63353906524,20671,0.005371609850172219,0.059518378910470335,0.09025127949557205
上午8:20,早晨班機,TSA,HKG,CX 407,14314.0,14328.416324134098,14314,-0.0010071485352869584,0.0025150202598854267,-0.40045344816937567
下午6:10,晚間班機,TSA,HKG,CI 923,13650.75,13902.65349749158,13724,-0.01845345475461637,0.03507133307693716,-0.5261691853610014
清晨7:55,早晨班機,TSA,ICN,CI 160,18336.25,20805.416715353684,19668,-0.13466039759240214,0.06000409025836799,-2.2441869714643796
下午1:30,下午班機,TSA,HND,NH 852,33842.0,33835.15249094003,34214,0.00020233760002268502,0.0032503989125938185,0.062250082363342785
上午10:15,凌晨班機,TSA,NRT,JX 802,24232.75,24599.766308533657,24485,-0.015145466714824241,0.09168377505648348,-0.16519244223412047
上午8:25,早晨班機,TSA,NRT,BR 211,21345.25,22366.770277694177,21310,-0.047857030378851355,0.008397652873590143,-5.698857895086063
上午8:05,早晨班機,TSA,HKG,CI 903,13617.75,14047.872921894215,14011,-0.03158546176087939,0.03126434249417121,-1.0102711025113689
下午2:10,下午班機,TSA,SIN,SQ 877,22555.5,24127.000852991023,22170,-0.06967262321788578,0.13772694021413845,-0.5058750532725005
上午8:30,早晨班機,TSA,NRT,JX 800,36067.25,48211.15343056347,35872,-0.3367016734173931,0.24665728604204645,-1.3650586967051817
下午3:15,下午班機,TSA,ICN,BR 160,21909.5,20734.271003499725,20877,0.05364015593693488,0.07966863689267213,0.6732907456317816
晚上7:25,晚間班機,TSA,ICN,KE 188,12970.0,18171.79367876512,14255,-0.4010635064583747,0.24217424826522746,-1.6560947719723398
下午5:10,下午班機,TSA,ICN,OZ 714,15625.75,15452.78419403918,14758,0.011069280256040134,0.16144825048397676,0.06856240450334719
清晨7:00,早晨班機,TSA,NRT,CI 833,24824.0,23219.006507162965,23891,0.06465491028186574,0.25640509184660004,0.25215922903959703
下午1:40,下午班機,TSA,ICN,OZ 712,18350.5,18094.67573824644,18505,0.013940996798646445,0.22503474019781478,0.061950420572360235
下午3:15,下午班機,TSA,ICN,BR 160,20175.25,20344.467641279916,20187,-0.008387387580323232,0.0005576139081300107,-15.041568113770337
上午10:35,凌晨班機,TSA,NRT,JL 802,30729.75,27416.375910163155,30754,0.10782300831724453,0.00018711509205248986,576.2389721455382
晚上7:55,晚間班機,TSA,SIN,CI 755,19624.75,21210.786236108008,18955,-0.08081816258082308,0.1448043924126422,-0.5581195517227088
下午4:30,下午班機,TSA,HND,BR 190,26163.0,30100.00685113579,27356,-0.15047994691494818,0.0003822191644689065,-393.7006851135789
