出發時間,出發時段,出發機場代號,抵達機場代號,航班代碼,隨機購買平均價格,預測最低價格,最低價格,效能,最佳效能,標準化效能
晚上9:10,晚間班機,TSA,HKG,CI 921,14925.25,13271.400580954254,13354,0.11080882524887328,0.10527461851560276,1.0525692404427978
上午9:50,早晨班機,TSA,HKG,BR 867,14942.5,14913.17008727272,14867,0.0019628517803098756,0.00505270202442697,0.38847566526199095
晚上8:45,晚間班機,TSA,ICN,BR 205,20150.25,18145.406359334615,19015,0.09949472788999568,0.05633925137405243,1.7659930770010002
下午6:35,晚間班機,TSA,HKG,CX 473,14284.25,14328.416324134125,14280,-0.0030919596152492995,0.0002975304968759298,-10.392076266852895
晚上10:30,晚間班機,TSA,ICN,BR 61,29322.75,21808.461885181536,25474,0.25626137094298673,0.13125474247811,1.9523970418495522
下午5:10,下午班機,TSA,ICN,OZ 714,17298.0,15658.718522220972,14098,0.09476711052023518,0.18499248468030985,0.5122754618059463
中午12:25,下午班機,TSA,HKG,CX 461,14311.0,14328.416324134098,14278,-0.001216988619530258,0.0023059185242121443,-0.5277673980029552
晚上7:55,晚間班機,TSA,SIN,CI 755,18644.0,17498.814484306313,17623,0.061423810110152716,0.054762926410641496,1.1216312592494488
上午8:05,早晨班機,TSA,HKG,CI 903,14285.25,13121.600687995062,13354,0.0814580992285706,0.06518961866260653,1.2495563081932222
上午9:20,早晨班機,TSA,GMP,BR 156,20840.5,18090.97245307333,20164,0.13193193766592312,0.03246083347328519,4.064342271879779
下午1:30,下午班機,TSA,HND,NH 852,33741.75,33860.35026024483,33732,-0.003514940992830187,0.00028895952343906286,-12.164129255879791
中午12:25,下午班機,TSA,HKG,BR 869,17018.5,14777.632514891868,14867,0.1316724438175005,0.1264212474659929,1.0415372926368265
上午9:50,早晨班機,TSA,HKG,CX 469,15026.25,10734.663173409008,14278,0.2856059779779381,0.04979619000083188,5.735498598851977
清晨7:05,早晨班機,TSA,ICN,BR 170,20324.75,19604.30346193533,20169,0.03544676013553273,0.007663070886480768,4.62565995547139
下午4:30,下午班機,TSA,HND,BR 190,38937.75,30337.956963877292,27337,0.22086004034960183,0.297930671392158,0.7413135388765992
下午3:35,下午班機,TSA,HND,JL 98,31904.25,30097.262263339184,29810,0.05663783780094552,0.06564172484857034,0.8628328693617362
中午12:25,下午班機,TSA,ICN,KE 186,16646.75,16641.72965245037,16528,0.0003015812425627206,0.007133524561851412,0.042276610944260794
晚上8:45,晚間班機,TSA,ICN,BR 205,21297.5,17679.97729458801,21166,0.16985668296335202,0.006174433618969363,27.509678368152013
中午12:35,下午班機,TSA,NRT,CI 104,35189.75,20707.26740488355,22456,0.41155400635459044,0.3618596324213727,1.137330526758924
上午10:50,早晨班機,TSA,HKG,CI 909,14691.25,13586.138950052888,13354,0.07522239768209733,0.09102356845060836,0.8264057206559076
清晨7:15,早晨班機,TSA,HKG,CI 601,14076.5,13281.69113684634,13172,0.05646352880003263,0.06425602955280077,0.8787273224473845
上午8:05,早晨班機,TSA,HKG,JX 233,21373.75,11883.93607091133,16326,0.4439938676689243,0.2361658576524943,1.8800087027068835
上午9:25,早晨班機,TSA,ICN,JX 741,22703.0,19441.195444545185,17844,0.14367284303637473,0.21402457824957055,0.6712913264982127
下午1:30,下午班機,TSA,HND,NH 852,33737.75,33860.35026024483,33702,-0.0036339192816600974,0.001059643870738268,-3.429377908946236
下午2:35,下午班機,TSA,NRT,CI 108,22057.25,21354.26291053835,21341,0.031871021521796716,0.03247231635856691,0.9814828474159171
下午3:15,下午班機,TSA,ICN,BR 160,20182.25,19310.01838908649,20164,0.04321775871934546,0.0009042599313753422,47.79351292676766
