出發時間,出發時段,出發機場代號,抵達機場代號,航班代碼,隨機購買平均價格,預測平均價格,平均價格,效能,最佳效能,標準化效能
晚上8:45,晚間班機,TSA,HKG,BR 205,5889.0,6708.5757,5862,-0.13917060621497712,0.07862115809135677,-1.7701419006479489
晚上10:30,晚間班機,TSA,HKG,BR 61,5748.5,6097.4316,5816,-0.06069959119770373,0.05610159171957902,-1.0819584496124028
上午10:05,凌晨班機,TSA,HKG,CI 831,12618.25,7936.927,9103,0.3709962157985458,0.556673865234878,0.6664516496423106
上午9:25,凌晨班機,TSA,HKG,JX 741,8804.25,7846.771,9242,0.10875190958911893,0.3043132578016299,0.3573682933656808
上午9:40,凌晨班機,TSA,HKG,BR 201,11452.75,7481.2954,11282,0.3467686450852415,0.4844906245224946,0.7157386077945483
下午1:55,下午班機,TSA,HKG,TG 633,6034.0,6327.6826,6099,-0.04867129598939345,0.05469008949287372,-0.8899472727272729
下午1:50,下午班機,TSA,HKG,CI 835,7164.25,7564.3877,8664,-0.0558520012562376,0.24988658966395644,-0.2235093981287531
下午1:30,下午班機,TSA,HKG,JX 745,6389.75,6879.602,7167,-0.07666215423138618,0.18322313079541452,-0.41840871236386923
下午3:15,下午班機,TSA,HKG,VZ 567,4977.0,4934.692,4902,0.008500703234880449,0.2561784207353828,0.03318274509803921
凌晨1:25,凌晨班機,TSA,HKG,VZ 571,4471.5,4157.187,4546,0.07029251928882928,0.31275858213127583,0.22475008938148025
清晨7:40,早晨班機,TSA,HKG,TG 637,6232.0,6341.3354,6110,-0.017544191270860068,0.08472400513478819,-0.2070746212121211
清晨7:00,早晨班機,TSA,HKG,CI 833,8762.5,8650.03,9112,0.012835378031383663,0.2923252496433666,0.0439078664844815
上午8:25,早晨班機,TSA,HKG,BR 211,7745.25,7685.21,7214,0.007751847906781571,0.30150737548820244,0.025710309388716397
