出發時間,出發時段,出發機場代號,抵達機場代號,航班代碼,隨機購買平均價格,預測平均價格,平均價格,效能,最佳效能,標準化效能
晚上8:55,晚間班機,TSA,HND,MM 860,11402.5,7917.91285164088,11306,0.3055985221099864,0.42644156983117737,0.7166246063463486
清晨7:55,早晨班機,TSA,NRT,BR 184,9733.75,11353.331723422692,9734,-0.1663882597583349,0.05843071786310518,-2.8476162170069315
清晨7:05,早晨班機,TSA,ICN,BR 170,8596.0,9708.583663709724,8874,-0.12943039363770634,0.30269892973476037,-0.42758787998067777
晚上7:40,晚間班機,TSA,HKG,CX 451,12768.0,6666.91623496911,9744,0.47784177357698077,0.6466948621553885,0.7388983607885298
凌晨12:20,凌晨班機,TSA,SIN,TR 875,3448.0,2913.8688589073195,3620,0.1549104237507774,0.2494199535962877,0.6210827222007912
下午5:00,下午班機,TSA,HKG,CX 421,4435.75,4544.344343610635,4482,-0.024481619480501697,0.018655244321704335,-1.312318351790156
清晨7:00,早晨班機,TSA,HKG,BR 891,4083.5,4094.393414259483,4084,-0.002667666036361712,0.06624219419615526,-0.04027140206832921
下午5:00,下午班機,TSA,HKG,CX 421,6137.75,5969.126927432747,6163,0.02747310864197028,0.26308500672070384,0.10442673637854348
上午10:45,凌晨班機,TSA,HKG,CX 489,4499.25,4491.760511548664,4483,0.0016646082016638331,0.032505417569594935,0.051210177445032486
下午4:10,下午班機,TSA,SIN,TR 899,3423.0,3808.855911446957,3663,-0.11272448479315138,0.03651767455448437,-3.0868472915756575
中午12:25,下午班機,TSA,HKG,CX 461,4478.5,5278.536743341195,4635,-0.17863944252343303,0.028022775482862566,-6.374794767658923
下午6:10,晚間班機,TSA,HKG,BR 857,4055.0,4697.143892957459,4087,-0.1583585432694103,0.05967940813810111,-2.6534871609812343
中午12:25,下午班機,TSA,ICN,KE 186,14407.0,14158.392788134324,14907,0.01725600137889052,0.18386895259248975,0.09384945710293534
下午3:00,下午班機,TSA,NRT,JX 804,11192.75,8816.105305966212,12081,0.21233786996348425,0.24031180898349377,0.8835931569974118
晚上8:25,晚間班機,TSA,HKG,HX 285,5096.5,2665.7702905841747,4477,0.47694098095081433,0.5161385264397135,0.9240561526005799
上午11:55,凌晨班機,TSA,HKG,HX 253,5841.25,3026.482101651847,5456,0.4818776628886202,0.5168842285469719,0.9322738754154685
清晨7:15,早晨班機,TSA,HND,BR 192,10465.5,11379.78962701021,10174,-0.08736224996514358,0.09722421288997181,-0.8985647439903786
清晨7:15,早晨班機,TSA,HND,BR 192,12374.75,11803.041128462391,11939,0.046199630015766664,0.21582254186953273,0.21406304279232743
中午12:50,下午班機,TSA,NRT,CX 450,10020.75,10179.852425758325,10026,-0.015877297184175326,0.009754758875333683,-1.6276462993179017
上午11:55,凌晨班機,TSA,HKG,HX 253,7627.5,3026.482101651847,2843,0.6032144081741269,0.7436905932481154,0.8111093694752142
下午3:45,下午班機,TSA,HKG,HX 255,1958.75,2523.9805838753705,2229,-0.2885669860244393,0.0019144862795149968,-150.7281557000988
下午4:00,下午班機,TSA,NRT,MM 624,7290.0,6809.518869305446,7525,0.06590962012270973,0.22770919067215364,0.2894464642738277
上午10:50,凌晨班機,TSA,HKG,CI 909,6843.0,5887.892813349156,8094,0.13957433678954315,0.4763992400993716,0.29297766461682323
清晨7:15,早晨班機,TSA,HKG,CI 601,4055.25,3986.732698709762,3989,0.016895950013004823,0.06886135256765921,0.24536186675107538
下午4:20,下午班機,TSA,HKG,HX 255,4183.0,2556.5576459334034,4080,0.38882198280339386,0.5323930193640928,0.7303288522975288
上午8:05,早晨班機,TSA,HKG,JX 233,3810.75,4296.871076228056,4011,-0.12756572229300167,0.14163878501607294,-0.9006411787458196
下午2:05,下午班機,TSA,GMP,TW 668,7775.0,8890.37993495554,7750,-0.14345722636084107,0.2757556270096463,-0.5202331786173224
中午12:10,下午班機,TSA,NRT,SL 394,9182.5,13273.325073560973,9495,-0.44550232219558644,0.1430438333787095,-3.114446192280908
下午3:00,下午班機,TSA,NRT,JX 804,31016.75,8816.105305966212,26305,0.7157630858821052,0.3050851556014089,2.346109185388369
晚上10:30,晚間班機,TSA,NRT,BR 61,16576.0,17513.120835790745,17552,-0.05653479945648802,0.3267977799227799,-0.1729962776058234
上午8:45,早晨班機,TSA,SIN,JX 771,18975.75,15534.98252534933,23604,0.18132445224302962,0.7277577961345402,0.24915494304029176
上午8:30,早晨班機,TSA,NRT,JX 800,12658.0,13513.655823869534,12671,-0.06759802685017652,0.1494706904724285,-0.4522493783665615
凌晨12:10,凌晨班機,TSA,HND,IT 216,15299.0,11098.622107589874,12756,0.27455244737630735,0.4640826197790705,0.5916025200577643
下午1:30,下午班機,TSA,HND,NH 852,13838.5,15552.7928476521,16655,-0.12387851628804417,0.07280413339596055,-1.7015313624338453
上午10:05,凌晨班機,TSA,NRT,CI 831,5665.5,7753.0421101878765,5709,-0.36846564472471566,0.04333245079869385,-8.50322651807689
晚上8:45,晚間班機,TSA,NRT,BR 205,16916.5,12135.152758628888,16141,0.2826440009086461,0.4721721396269914,0.5986037234893411
上午9:35,凌晨班機,TSA,SIN,BR 215,19150.25,10745.543289568132,20007,0.43888234933914017,0.2972415503714051,1.4765174949153443
下午4:30,下午班機,TSA,HND,BR 190,31000.0,28686.048865624645,24461,0.07464358497985016,0.5023548387096775,0.14858737137194855
