出發時間,出發時段,出發機場代號,抵達機場代號,航班代碼,隨機購買平均價格,預測中位數價格,中位數價格,效能,最佳效能,標準化效能
下午1:20,下午班機,TSA,HKG,CX 495,18139.25,9660.823831645375,20519.0,0.4674077576721543,0.2123709635183373,2.2009023735101887
下午3:50,下午班機,TSA,HKG,CX 443,17403.5,14328.416324134098,14282.0,0.17669340511195464,0.18022236906369407,0.9804188349644198
下午2:30,下午班機,TSA,HKG,CI 915,14654.5,14913.170087272743,14885.0,-0.017651239364887463,0.08874407178682316,-0.19890049002133284
晚上10:30,晚間班機,TSA,ICN,BR 61,21356.0,22368.49045498106,21362.0,-0.04741011682810732,0.001030155459823937,-46.02229340823
下午4:30,下午班機,TSA,HND,BR 190,26192.25,30672.40597988915,26174.0,-0.17104891637370406,0.001383997174736802,-123.59050979004552
下午3:35,下午班機,TSA,HND,JL 98,32542.0,33970.11157275315,32245.0,-0.043885181388763767,0.08929998156228873,-0.4914355033562115
下午6:50,晚間班機,TSA,ICN,TG 635,18094.25,18519.67583114313,16691.0,-0.023511658739275156,0.1512220733105821,-0.15547769068730177
下午4:30,下午班機,TSA,HND,BR 190,26169.0,30672.40597988915,26172.0,-0.17208934158313846,0.0006114104474760212,-281.4628737430719
上午9:20,早晨班機,TSA,GMP,CI 260,21548.0,21163.965963897856,20188.0,0.01782225896148805,0.1423333952106924,0.1252148797202949
上午10:35,早晨班機,TSA,NRT,JL 802,33341.5,34572.09223599881,33339.0,-0.036908724442475914,0.22693939984703748,-0.1626369174649852
上午9:35,早晨班機,TSA,SIN,BR 215,26236.75,27687.841077038905,29764.0,-0.055307577235705854,0.3416867561721631,-0.16186631830657916
晚上9:10,晚間班機,TSA,HKG,CI 921,13757.75,14907.951391067296,14884.0,-0.0836038880679832,0.029347095273573078,-2.848796015027358
下午5:00,下午班機,TSA,HKG,CX 421,14311.5,15670.64176984833,14288.0,-0.09496850573652861,0.002340774901303148,-40.5713961148755
下午5:00,下午班機,TSA,HKG,CX 421,14654.5,15853.291914308316,14286.0,-0.08180367220364505,0.025691767034016856,-3.1840422690791934
下午3:00,下午班機,TSA,NRT,JX 804,23491.25,26116.722869664616,24965.0,-0.11176386397763491,0.094982174213803,-1.176682518617195
上午10:35,早晨班機,TSA,NRT,JL 802,32235.0,26861.93455447964,32232.0,0.1666842080198653,0.24225221033038621,0.6880606281880342
