出發日期,星期,出發時間,出發時段,出發機場代號,抵達時間,抵達時段,抵達機場代號,航空公司,航空聯盟,停靠站數量,停留時間,飛行時間,是否過夜,機型,機型分類,航班代碼,艙等,平均價格,最低價格,中位數價格,價格變異,隨機購買平均價格,最低價格剩餘天數,筆數
2025-03-11,星期二,下午5:35,下午班機,TPE,晚上10:20,晚間抵達,SIN,新加坡航空,1,直達航班。,Non-stop,4 小時 45 分鐘,No,Boeing 787,1,SQ 879,經濟艙,8919,8136,8145.0,2581628.6,8143.25,91,89
2025-03-11,星期二,凌晨12:20,凌晨班機,TPE,清晨5:05,凌晨抵達,SIN,酷航,4,直達航班。,Non-stop,4 小時 45 分鐘,No,Airbus A321neo,0,TR 875,經濟艙,2564,2299,2588.0,7643.18,2588.0,90,91
2025-03-11,星期二,凌晨1:30,凌晨班機,TPE,清晨6:15,早晨抵達,SIN,酷航,4,直達航班。,Non-stop,4 小時 45 分鐘,No,Boeing 787,1,TR 897,經濟艙,2579,2299,2588.0,19062.14,2571.0,90,91
2025-03-11,星期二,晚上10:20,晚間班機,TPE,"凌晨3:05 (星期三, 3月 12)",凌晨抵達,SIN,酷航,4,直達航班。,Non-stop,4 小時 45 分鐘,No,Boeing 787,1,TR 893,經濟艙,2553,2299,2588.0,10824.68,2443.5,90,91
2025-03-11,星期二,晚上7:55,晚間班機,TPE,"凌晨12:40 (星期三, 3月 12)",凌晨抵達,SIN,中華航空,2,直達航班。,Non-stop,4 小時 45 分鐘,No,Airbus A330,1,CI 755,商務艙,18766,17623,19238.5,468867.74,18962.5,45,90
2025-03-11,星期二,晚上7:55,晚間班機,TPE,"凌晨12:40 (星期三, 3月 12)",凌晨抵達,SIN,中華航空,2,直達航班。,Non-stop,4 小時 45 分鐘,No,Airbus A330,1,CI 755,經濟艙,5519,5219,5470.0,44880.14,5416.5,77,91
2025-03-11,星期二,清晨7:25,早晨班機,TPE,中午12:05,下午抵達,SIN,長榮航空,1,直達航班。,Non-stop,4 小時 40 分鐘,No,Boeing 777,1,BR 225,商務艙,20177,19226,19407.0,3441098.22,20606.25,77,90
2025-03-11,星期二,清晨7:25,早晨班機,TPE,中午12:05,下午抵達,SIN,長榮航空,1,直達航班。,Non-stop,4 小時 40 分鐘,No,Boeing 777,1,BR 225,經濟艙,6107,5739,6160.0,35659.52,6060.75,32,91
2025-03-12,星期三,上午8:20,早晨班機,TPE,下午1:05,下午抵達,SIN,中華航空,2,直達航班。,Non-stop,4 小時 45 分鐘,No,Airbus A350,1,CI 753,商務艙,18768,17623,19239.0,470005.83,18540.0,46,90
2025-03-12,星期三,上午8:20,早晨班機,TPE,下午1:05,下午抵達,SIN,中華航空,2,直達航班。,Non-stop,4 小時 45 分鐘,No,Airbus A350,1,CI 753,經濟艙,5860,5552,5812.0,54434.58,5987.25,78,91
2025-03-12,星期三,上午8:25,早晨班機,TPE,下午1:25,下午抵達,SIN,星宇航空,5,直達航班。,Non-stop,5 小時,No,Airbus A321neo,0,JX 771,商務艙,27844,21060,32410.0,29805490.74,26777.0,48,51
2025-03-12,星期三,上午8:25,早晨班機,TPE,下午1:25,下午抵達,SIN,星宇航空,5,直達航班。,Non-stop,5 小時,No,Airbus A321neo,0,JX 771,經濟艙,5564,5327,5388.0,79873.62,5608.0,47,57
2025-03-12,星期三,上午9:35,上午班機,TPE,下午2:30,下午抵達,SIN,長榮航空,1,直達航班。,Non-stop,4 小時 55 分鐘,No,Boeing 777,1,BR 215,商務艙,20564,19226,19411.0,4582257.53,20589.75,78,90
2025-03-12,星期三,上午9:35,上午班機,TPE,下午2:30,下午抵達,SIN,長榮航空,1,直達航班。,Non-stop,4 小時 55 分鐘,No,Boeing 777,1,BR 215,經濟艙,6108,5739,6217.0,35812.03,6149.75,33,91
2025-03-12,星期三,下午2:10,下午班機,TPE,下午6:55,晚間抵達,SIN,新加坡航空,1,直達航班。,Non-stop,4 小時 45 分鐘,No,Boeing 787,1,SQ 877,商務艙,22170,19449,21757.0,7428212.05,22156.75,91,49
2025-03-12,星期三,下午2:10,下午班機,TPE,下午6:55,晚間抵達,SIN,新加坡航空,1,直達航班。,Non-stop,4 小時 45 分鐘,No,Boeing 787,1,SQ 877,經濟艙,8464,8136,8144.0,1747587.18,8143.75,91,89
2025-03-12,星期三,下午4:05,下午班機,TPE,晚上8:55,晚間抵達,SIN,新加坡航空,1,直達航班。,Non-stop,4 小時 50 分鐘,No,Airbus A350,1,SQ 881,商務艙,21125,19449,19458.0,5109809.42,21581.75,91,49
2025-03-12,星期三,下午4:05,下午班機,TPE,晚上8:55,晚間抵達,SIN,新加坡航空,1,直達航班。,Non-stop,4 小時 50 分鐘,No,Airbus A350,1,SQ 881,經濟艙,8205,8136,8144.0,21011.01,8144.0,91,89
2025-03-12,星期三,下午4:10,下午班機,TPE,晚上8:55,晚間抵達,SIN,酷航,4,直達航班。,Non-stop,4 小時 45 分鐘,No,Boeing 787,1,TR 899,經濟艙,3428,2588,3298.0,281406.47,3598.0,70,91
2025-03-12,星期三,下午5:35,下午班機,TPE,晚上10:20,晚間抵達,SIN,新加坡航空,1,直達航班。,Non-stop,4 小時 45 分鐘,No,Boeing 787,1,SQ 879,商務艙,21233,19449,21756.0,4479708.82,19452.75,91,49
2025-03-12,星期三,下午5:35,下午班機,TPE,晚上10:20,晚間抵達,SIN,新加坡航空,1,直達航班。,Non-stop,4 小時 45 分鐘,No,Boeing 787,1,SQ 879,經濟艙,8148,8136,8144.0,1765.75,8145.0,91,89
2025-03-12,星期三,凌晨12:20,凌晨班機,TPE,清晨5:05,凌晨抵達,SIN,酷航,4,直達航班。,Non-stop,4 小時 45 分鐘,No,Airbus A321neo,0,TR 875,經濟艙,2546,2299,2588.0,8158.76,2588.0,91,91
2025-03-12,星期三,凌晨1:30,凌晨班機,TPE,清晨6:15,早晨抵達,SIN,酷航,4,直達航班。,Non-stop,4 小時 45 分鐘,No,Boeing 787,1,TR 897,經濟艙,2544,2299,2588.0,8375.31,2540.75,91,91
2025-03-12,星期三,晚上7:55,晚間班機,TPE,"凌晨12:40 (星期四, 3月 13)",凌晨抵達,SIN,中華航空,2,直達航班。,Non-stop,4 小時 45 分鐘,No,Airbus A330,1,CI 755,商務艙,18768,17623,19239.0,470005.83,18605.75,46,90
2025-03-12,星期三,晚上7:55,晚間班機,TPE,"凌晨12:40 (星期四, 3月 13)",凌晨抵達,SIN,中華航空,2,直達航班。,Non-stop,4 小時 45 分鐘,No,Airbus A330,1,CI 755,經濟艙,5526,5219,5470.0,45909.32,5425.25,78,91
2025-03-12,星期三,清晨7:25,早晨班機,TPE,中午12:05,下午抵達,SIN,長榮航空,1,直達航班。,Non-stop,4 小時 40 分鐘,No,Boeing 777,1,BR 225,商務艙,19678,19226,19400.0,1548011.91,19368.25,78,90
2025-03-12,星期三,清晨7:25,早晨班機,TPE,中午12:05,下午抵達,SIN,長榮航空,1,直達航班。,Non-stop,4 小時 40 分鐘,No,Boeing 777,1,BR 225,經濟艙,6108,5739,6217.0,35812.03,6197.25,33,91
2025-03-13,星期四,上午8:20,早晨班機,TPE,下午1:05,下午抵達,SIN,中華航空,2,直達航班。,Non-stop,4 小時 45 分鐘,No,Airbus A350,1,CI 753,商務艙,18769,17623,19239.0,471143.65,17888.0,47,90
2025-03-13,星期四,上午8:20,早晨班機,TPE,下午1:05,下午抵達,SIN,中華航空,2,直達航班。,Non-stop,4 小時 45 分鐘,No,Airbus A350,1,CI 753,經濟艙,5861,5552,5812.0,53773.24,5963.5,79,91
2025-03-13,星期四,上午8:25,早晨班機,TPE,下午1:25,下午抵達,SIN,星宇航空,5,直達航班。,Non-stop,5 小時,No,Airbus A321neo,0,JX 771,商務艙,21906,21060,21142.0,4816376.21,22421.5,49,58
